conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RELATIONSHIP_TYPE:1,is related to,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:2,is contained within / contains,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:3,was identified in / identified,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:4,was assessed in / assessed,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:5,is referred to in / refers to,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:6,is represented by / represents,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:7,Heritage resource - Heritage resource,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Collector,GCI
RELATIONSHIP_TYPE:8,is a contributor to / has as a contributor,District and Contributor Relationship,RELATIONSHIP_TYPE:7,Index,GCI
RELATIONSHIP_TYPE:9,is a non-contributor to / has as a non-contributor,District and Non-Contributor Relationship,RELATIONSHIP_TYPE:7,Index,GCI
RELATIONSHIP_TYPE:10,is a potential contributor to / has as a possible contributor,District and Potential Contributor Relationship,RELATIONSHIP_TYPE:7,Index,GCI
RELATIONSHIP_TYPE:11,is an altered contributor to / has as a altered contributor,District and Altered Contributor Relationship,RELATIONSHIP_TYPE:7,Index,GCI
RELATIONSHIP_TYPE:12,Heritage resource - Actor,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Collector,GCI
RELATIONSHIP_TYPE:13,was designed by /designed,Heritage resource and Architect Relationship,RELATIONSHIP_TYPE:12,Index,GCI
RELATIONSHIP_TYPE:14,was built by / built,Heritage resource and Builder Relationship,RELATIONSHIP_TYPE:12,Index,GCI
RELATIONSHIP_TYPE:15,was owned by / owned,Heritage resource and Original Owner Relationship,RELATIONSHIP_TYPE:12,Index,GCI
RELATIONSHIP_TYPE:16,was surveyed by / surveyed,Heritage resource and Surveyor Relationship,RELATIONSHIP_TYPE:12,Index,GCI
RELATIONSHIP_TYPE:17,was made significant by / contributed to the significance of,Hertiage resource and Significant Person Relationship,RELATIONSHIP_TYPE:12,Index,GCI
RELATIONSHIP_TYPE:18,Hetiage resource - Historical Event/Activity,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Collector,GCI
RELATIONSHIP_TYPE:19,was the location of / took place at,Hertiage resource and Historical Event/Activity Relationship,RELATIONSHIP_TYPE:18,Index,GCI
RELATIONSHIP_TYPE:20,was made significant by / contributed to the significance of,Heritage resource and Significant Event Relationship,RELATIONSHIP_TYPE:18,Index,GCI
RELATIONSHIP_TYPE:21,is created by / created,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
RELATIONSHIP_TYPE:22,was occupied by / occupied,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,Index,GCI
