conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_CAUSE_TYPE:1,Unknown,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:2,No Visible/Known,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:3,Animal/Pest Infestation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:4,Clearance (Bulldozing/Levelling),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:5,Clearance (Hand),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:6,Clearance (Unclassified),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:7,Conservation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:8,Construction,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:9,Demolition,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:10,Drilling,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:11,Dumping,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:12,Excavation (Bulldozing/Machinery),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
