conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
IMAGERY_SOURCE_TYPE:1,"Historic Environment Image Resource, University of Oxford (HEIR)",,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:2,Royal Collection Trust,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:3,YouTube,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:4,"Bodleian Library, University of Oxford",,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:5,Forteresses d'Orient,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:6,Terra Bella,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:7,Flickr,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:8,UCL Institute of Archaeology Special Collections,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:9,The British Museum,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:10,Harris MapMart,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:11,Manar al-Athar,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:12,Society for Libyan Studies,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:13,Aerial Photographic Archive for Archaeology in the Middle East (APAAME),,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:14,"Air Survey Photographs, UCL Institute of Archaeology Special Collections",,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:15,Google Earth (Pro),,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:16,The British Academy Library and Archive,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:17,Bing Maps,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:18,"Ashmolean Museum, University of Oxford",,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:19,Endangered Archaeology in the Middle East and North Africa (EAMENA),,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:20,"CORONA Atlas of the Middle East, Center for Advanced Spatial Technologies, University of Arkansas",,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:21,"Matson Collection, Library of Congress",,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:22,"Sir Aurel Stein Archive, The British Academy Library and Archive",,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:23,The African Rock Art Image Project,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:24,UNOSAT,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:25,United States Geological Survey (USGS),,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
IMAGERY_SOURCE_TYPE:26,Unknown,,IMAGERY_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
