conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SCALE_TYPE:1,Not to Scale,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:2,Other/Non-Standard,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:3,Unknown/No Scale,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:4,1:10,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:5,1:12,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:6,1:20,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:7,1:25,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:8,1:50,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:9,1:100,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:10,1:120,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:11,1:200,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:12,1:250,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:13,1:500,,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:14,"1:1,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:15,"1:1,200",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:16,"1:2,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:17,"1:2,400",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:18,"1:2,500",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:19,"1:4,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:20,"1:4,800",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:21,"1:5,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:22,"1:6,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:23,"1:9,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:24,"1:9,600",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:25,"1:10,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:26,"1:12,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:27,"1:15,840",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:28,"1:20,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:29,"1:24,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:30,"1:25,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:31,"1:31,680",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:32,"1:50,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:33,"1:62,500",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:34,"1:63,360",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:35,"1:80,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:36,"1:100,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:37,"1:125,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:38,"1:126,720",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:39,"1:250,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:40,"1:253,440",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:41,"1:316,800",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:42,"1:500,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:43,"1:633,600",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:44,"1:1,000,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:45,"1:1,267,200",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:46,"1:2,000,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:47,"1:2,500,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:48,"1:3,168,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:49,"1:5,000,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:50,"1:6,336,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:51,"1:10,000,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:52,"1:20,000,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:53,"1:25,000,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
SCALE_TYPE:54,"1:50,000,000",,SCALE_TYPE_AUTHORITY_DOCUMENT.csv,Index,EAMENA
