conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SITE_OVERALL_INTERPRETATION_TYPE:1,Unknown,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:2,Altar,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:3,Amphitheatre,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:4,Aqueduct,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:5,Barrack,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:6,Barrage/Dam,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:7,Basilica (Roman),,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:8,Basin/Tank,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:9,Bath-house,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:10,Boundary/Barrier,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:11,Bridge,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:12,Building,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:13,Building/Enclosure,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:14,Bunker,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:15,Burnt Area,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:16,Camp (temporary),,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:17,Canal,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:18,Caravanserai/Khan,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:19,Channel,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:20,Church/Chapel,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:21,Circus/Hippodrome,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:22,Cistern,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:23,Clearance Pile,,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
