conceptid,Value,ValueType,Provider 
Period: 001,001,sortorder,Eamena
Period: 002,002,sortorder,Eamena
Period: 003,003,sortorder,Eamena
Period: 004,004,sortorder,Eamena
Period: 005,005,sortorder,Eamena
Period: 006,006,sortorder,Eamena
Period: 007,007,sortorder,Eamena
Period: 008,008,sortorder,Eamena
Period: 009,009,sortorder,Eamena
Period: 010,010,sortorder,Eamena
Period: 011,011,sortorder,Eamena
Period: 012,012,sortorder,Eamena
Period: 013,013,sortorder,Eamena
Period: 014,014,sortorder,Eamena
Period: 015,015,sortorder,Eamena
Period: 016,016,sortorder,Eamena
Period: 017,017,sortorder,Eamena
Period: 018,018,sortorder,Eamena
Period: 019,019,sortorder,Eamena
Period: 020,020,sortorder,Eamena
Period: 021,021,sortorder,Eamena
Period: 022,022,sortorder,Eamena
Period: 023,023,sortorder,Eamena
Period: 024,024,sortorder,Eamena
Period: 025,025,sortorder,Eamena
Period: 026,026,sortorder,Eamena
Period: 027,027,sortorder,Eamena
Period: 028,028,sortorder,Eamena
Period: 029,029,sortorder,Eamena
Period: 030,030,sortorder,Eamena
Period: 031,031,sortorder,Eamena
Period: 032,032,sortorder,Eamena
Period: 033,033,sortorder,Eamena
Period: 034,034,sortorder,Eamena
Period: 035,035,sortorder,Eamena
Period: 036,036,sortorder,Eamena
Period: 037,037,sortorder,Eamena
Period: 038,038,sortorder,Eamena
Period: 039,039,sortorder,Eamena
Period: 040,040,sortorder,Eamena
Period: 041,041,sortorder,Eamena
Period: 042,042,sortorder,Eamena
Period: 043,043,sortorder,Eamena
Period: 044,044,sortorder,Eamena
Period: 045,045,sortorder,Eamena
Period: 046,046,sortorder,Eamena
Period: 047,047,sortorder,Eamena
Period: 048,048,sortorder,Eamena
Period: 049,049,sortorder,Eamena
Period: 050,050,sortorder,Eamena
Period: 051,051,sortorder,Eamena
Period: 052,052,sortorder,Eamena
Period: 053,053,sortorder,Eamena
Period: 054,054,sortorder,Eamena
Period: 055,055,sortorder,Eamena
Period: 056,056,sortorder,Eamena
Period: 057,057,sortorder,Eamena
Period: 058,058,sortorder,Eamena
Period: 059,059,sortorder,Eamena
Period: 060,060,sortorder,Eamena
Period: 061,061,sortorder,Eamena
Period: 062,062,sortorder,Eamena
Period: 063,063,sortorder,Eamena
Period: 064,064,sortorder,Eamena
Period: 065,065,sortorder,Eamena
Period: 066,066,sortorder,Eamena
Period: 067,067,sortorder,Eamena
Period: 068,068,sortorder,Eamena
Period: 069,069,sortorder,Eamena
Period: 070,070,sortorder,Eamena
Period: 071,071,sortorder,Eamena
Period: 072,072,sortorder,Eamena
Period: 073,073,sortorder,Eamena
Period: 074,074,sortorder,Eamena
Period: 075,075,sortorder,Eamena
Period: 076,076,sortorder,Eamena
Period: 077,077,sortorder,Eamena
Period: 078,078,sortorder,Eamena
Period: 079,079,sortorder,Eamena
Period: 080,080,sortorder,Eamena
Period: 081,081,sortorder,Eamena
Period: 082,082,sortorder,Eamena
Period: 083,083,sortorder,Eamena
Period: 084,084,sortorder,Eamena
Period: 085,085,sortorder,Eamena
Period: 086,086,sortorder,Eamena
Period: 087,087,sortorder,Eamena
Period: 088,088,sortorder,Eamena
Period: 089,089,sortorder,Eamena
Period: 090,090,sortorder,Eamena
Period: 091,091,sortorder,Eamena
Period: 092,092,sortorder,Eamena
Period: 093,093,sortorder,Eamena
Period: 094,094,sortorder,Eamena
Period: 095,095,sortorder,Eamena
Period: 096,096,sortorder,Eamena
Period: 097,097,sortorder,Eamena
Period: 098,098,sortorder,Eamena
Period: 099,099,sortorder,Eamena
Period: 100,100,sortorder,Eamena
Period: 101,101,sortorder,Eamena
Period: 102,102,sortorder,Eamena
Period: 103,103,sortorder,Eamena
Period: 104,104,sortorder,Eamena
Period: 105,105,sortorder,Eamena
Period: 106,106,sortorder,Eamena
Period: 107,107,sortorder,Eamena
Period: 108,108,sortorder,Eamena
Period: 109,109,sortorder,Eamena
Period: 110,110,sortorder,Eamena
Period: 111,111,sortorder,Eamena
Period: 112,112,sortorder,Eamena
Period: 113,113,sortorder,Eamena
Period: 114,114,sortorder,Eamena
Period: 115,115,sortorder,Eamena
Period: 116,116,sortorder,Eamena
Period: 117,117,sortorder,Eamena
Period: 118,118,sortorder,Eamena
Period: 119,119,sortorder,Eamena
Period: 120,120,sortorder,Eamena
Period: 121,121,sortorder,Eamena
Period: 122,122,sortorder,Eamena
Period: 123,123,sortorder,Eamena
Period: 124,124,sortorder,Eamena
Period: 125,125,sortorder,Eamena
Period: 126,126,sortorder,Eamena
Period: 127,127,sortorder,Eamena
Period: 128,128,sortorder,Eamena
Period: 129,129,sortorder,Eamena
Period: 130,130,sortorder,Eamena
Period: 131,131,sortorder,Eamena
Period: 132,132,sortorder,Eamena
Period: 133,133,sortorder,Eamena
Period: 134,134,sortorder,Eamena
Period: 135,135,sortorder,Eamena
Period: 136,136,sortorder,Eamena
Period: 137,137,sortorder,Eamena
Period: 138,138,sortorder,Eamena
Period: 139,139,sortorder,Eamena
Period: 140,140,sortorder,Eamena
Period: 141,141,sortorder,Eamena
Period: 142,142,sortorder,Eamena
Period: 143,143,sortorder,Eamena
Period: 144,144,sortorder,Eamena
Period: 145,145,sortorder,Eamena
Period: 146,146,sortorder,Eamena
Period: 147,147,sortorder,Eamena
Period: 148,148,sortorder,Eamena
Period: 149,149,sortorder,Eamena
Period: 150,150,sortorder,Eamena
Period: 151,151,sortorder,Eamena
Period: 152,152,sortorder,Eamena
Period: 153,153,sortorder,Eamena
Period: 154,154,sortorder,Eamena
Period: 155,155,sortorder,Eamena
Period: 156,156,sortorder,Eamena
Period: 157,157,sortorder,Eamena
Period: 158,158,sortorder,Eamena
Period: 159,159,sortorder,Eamena
Period: 160,160,sortorder,Eamena
Period: 161,161,sortorder,Eamena
Period: 162,162,sortorder,Eamena
Period: 163,163,sortorder,Eamena
Period: 164,164,sortorder,Eamena
Period: 165,165,sortorder,Eamena
Period: 166,166,sortorder,Eamena
Period: 167,167,sortorder,Eamena
Period: 168,168,sortorder,Eamena
Period: 169,169,sortorder,Eamena
Period: 170,170,sortorder,Eamena
Period: 171,171,sortorder,Eamena
Period: 172,172,sortorder,Eamena
Period: 173,173,sortorder,Eamena
Period: 174,174,sortorder,Eamena
Period: 175,175,sortorder,Eamena
Period: 176,176,sortorder,Eamena
Period: 177,177,sortorder,Eamena
Period: 178,178,sortorder,Eamena
Period: 179,179,sortorder,Eamena
Period: 180,180,sortorder,Eamena
Period: 181,181,sortorder,Eamena
Period: 182,182,sortorder,Eamena
Period: 183,183,sortorder,Eamena
Period: 184,184,sortorder,Eamena
Period: 185,185,sortorder,Eamena
Period: 186,186,sortorder,Eamena
Period: 187,187,sortorder,Eamena
Period: 188,188,sortorder,Eamena
Period: 189,189,sortorder,Eamena
Period: 190,190,sortorder,Eamena
Period: 191,191,sortorder,Eamena
Period: 192,192,sortorder,Eamena
Period: 193,193,sortorder,Eamena
Period: 194,194,sortorder,Eamena
Period: 195,195,sortorder,Eamena
Period: 196,196,sortorder,Eamena
Period: 197,197,sortorder,Eamena
Period: 198,198,sortorder,Eamena
Period: 199,199,sortorder,Eamena
Period: 200,200,sortorder,Eamena
Period: 201,201,sortorder,Eamena
Period: 202,202,sortorder,Eamena
Period: 203,203,sortorder,Eamena
Period: 204,204,sortorder,Eamena
Period: 205,205,sortorder,Eamena
Period: 206,206,sortorder,Eamena
Period: 207,207,sortorder,Eamena
Period: 208,208,sortorder,Eamena
Period: 209,209,sortorder,Eamena
Period: 210,210,sortorder,Eamena
Period: 211,211,sortorder,Eamena
Period: 212,212,sortorder,Eamena
Period: 213,213,sortorder,Eamena
Period: 214,214,sortorder,Eamena
Period: 215,215,sortorder,Eamena
Period: 216,216,sortorder,Eamena
Period: 217,217,sortorder,Eamena
Period: 218,218,sortorder,Eamena
Period: 219,219,sortorder,Eamena
Period: 220,220,sortorder,Eamena
Period: 221,221,sortorder,Eamena
Period: 222,222,sortorder,Eamena
Period: 223,223,sortorder,Eamena
Period: 224,224,sortorder,Eamena
Period: 225,225,sortorder,Eamena
Period: 226,226,sortorder,Eamena
Period: 227,227,sortorder,Eamena
Period: 228,228,sortorder,Eamena
Period: 229,229,sortorder,Eamena
Period: 230,230,sortorder,Eamena
Period: 231,231,sortorder,Eamena
Period: 232,232,sortorder,Eamena
Period: 233,233,sortorder,Eamena
Period: 234,234,sortorder,Eamena
Period: 235,235,sortorder,Eamena
Period: 236,236,sortorder,Eamena
Period: 237,237,sortorder,Eamena
Period: 238,238,sortorder,Eamena
Period: 239,239,sortorder,Eamena
Period: 240,240,sortorder,Eamena
Period: 241,241,sortorder,Eamena
Period: 242,242,sortorder,Eamena
Period: 243,243,sortorder,Eamena
Period: 244,244,sortorder,Eamena
Period: 245,245,sortorder,Eamena
Period: 246,246,sortorder,Eamena
Period: 247,247,sortorder,Eamena
Period: 248,248,sortorder,Eamena
Period: 249,249,sortorder,Eamena
Period: 250,250,sortorder,Eamena
Period: 251,251,sortorder,Eamena
Period: 252,252,sortorder,Eamena
Period: 253,253,sortorder,Eamena
Period: 254,254,sortorder,Eamena
Period: 255,255,sortorder,Eamena
Period: 256,256,sortorder,Eamena
Period: 257,257,sortorder,Eamena
Period: 258,258,sortorder,Eamena
Period: 259,259,sortorder,Eamena
Period: 260,260,sortorder,Eamena
Period: 261,261,sortorder,Eamena
Period: 262,262,sortorder,Eamena
Period: 263,263,sortorder,Eamena
Period: 264,264,sortorder,Eamena
Period: 265,265,sortorder,Eamena
Period: 266,266,sortorder,Eamena
Period: 267,267,sortorder,Eamena
Period: 268,268,sortorder,Eamena
Period: 269,269,sortorder,Eamena
Period: 270,270,sortorder,Eamena
Period: 271,271,sortorder,Eamena
Period: 272,272,sortorder,Eamena
Period: 273,273,sortorder,Eamena
Period: 274,274,sortorder,Eamena
Period: 275,275,sortorder,Eamena
Period: 276,276,sortorder,Eamena
Period: 277,277,sortorder,Eamena
Period: 278,278,sortorder,Eamena
Period: 279,279,sortorder,Eamena
Period: 280,280,sortorder,Eamena
Period: 281,281,sortorder,Eamena
Period: 282,282,sortorder,Eamena
Period: 283,283,sortorder,Eamena
Period: 284,284,sortorder,Eamena
Period: 285,285,sortorder,Eamena
Period: 286,286,sortorder,Eamena
Period: 287,287,sortorder,Eamena
Period: 288,288,sortorder,Eamena
Period: 289,289,sortorder,Eamena
Period: 290,290,sortorder,Eamena
Period: 291,291,sortorder,Eamena
Period: 292,292,sortorder,Eamena
Period: 293,293,sortorder,Eamena
Period: 294,294,sortorder,Eamena
Period: 295,295,sortorder,Eamena
Period: 296,296,sortorder,Eamena
Period: 297,297,sortorder,Eamena
Period: 298,298,sortorder,Eamena
Period: 299,299,sortorder,Eamena
Period: 300,300,sortorder,Eamena
Period: 301,301,sortorder,Eamena
Period: 302,302,sortorder,Eamena
Period: 303,303,sortorder,Eamena
Period: 304,304,sortorder,Eamena
Period: 305,305,sortorder,Eamena
Period: 306,306,sortorder,Eamena
Period: 307,307,sortorder,Eamena
Period: 308,308,sortorder,Eamena
Period: 309,309,sortorder,Eamena
Period: 310,310,sortorder,Eamena
Period: 311,311,sortorder,Eamena
Period: 312,312,sortorder,Eamena
Period: 313,313,sortorder,Eamena
Period: 314,314,sortorder,Eamena
Period: 315,315,sortorder,Eamena
Period: 316,316,sortorder,Eamena
Period: 317,317,sortorder,Eamena
Period: 318,318,sortorder,Eamena
Period: 319,319,sortorder,Eamena
Period: 320,320,sortorder,Eamena
Period: 321,321,sortorder,Eamena
Period: 322,322,sortorder,Eamena
Period: 323,323,sortorder,Eamena
Period: 324,324,sortorder,Eamena
Period: 325,325,sortorder,Eamena
Period: 326,326,sortorder,Eamena
Period: 327,327,sortorder,Eamena
Period: 328,328,sortorder,Eamena
Period: 329,329,sortorder,Eamena
Period: 330,330,sortorder,Eamena
Period: 331,331,sortorder,Eamena
Period: 332,332,sortorder,Eamena
Period: 333,333,sortorder,Eamena
Period: 334,334,sortorder,Eamena
Period: 335,335,sortorder,Eamena
Period: 336,336,sortorder,Eamena
Period: 337,337,sortorder,Eamena
Period: 338,338,sortorder,Eamena
Period: 339,339,sortorder,Eamena
Period: 340,340,sortorder,Eamena
Period: 341,341,sortorder,Eamena
Period: 342,342,sortorder,Eamena
Period: 343,343,sortorder,Eamena
Period: 344,344,sortorder,Eamena
Period: 345,345,sortorder,Eamena
Period: 346,346,sortorder,Eamena
Period: 347,347,sortorder,Eamena
Period: 348,348,sortorder,Eamena
Period: 349,349,sortorder,Eamena
Period: 350,350,sortorder,Eamena
Period: 351,351,sortorder,Eamena
Period: 352,352,sortorder,Eamena
Period: 353,353,sortorder,Eamena
Period: 354,354,sortorder,Eamena
Period: 355,355,sortorder,Eamena
Period: 356,356,sortorder,Eamena
Period: 357,357,sortorder,Eamena
Period: 358,358,sortorder,Eamena
Period: 359,359,sortorder,Eamena
Period: 360,360,sortorder,Eamena
