conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_EFFECT_TYPE:1,Unknown,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:2,Not Applicable,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:3,Access Restriction,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:4,Alteration of Terrain,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:5,Artefact Displacement,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:6,Burning,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:7,Chemical Leaching,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:8,Collapse/Structural Damage,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:9,Compacting,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:10,Covered,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:11,Earth Displacement,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:12,Erosion,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:13,Loss of Archaeological Material,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:14,Relocation of Archaeological Features,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:15,Structural Alteration,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:16,Water Damage,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
