conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
MODERN_COUNTRY_TERRITORY:1,Algeria,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:2,Bahrain,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:3,Egypt,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:4,Iran (Islamic Republic of),,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:5,Iraq,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:6,Israel,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:7,Jordan,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:8,Kuwait,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:9,Lebanon,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:10,Libya,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:11,Mauretania,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:12,Morocco,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:13,Oman,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:14,Palestine,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:15,Qatar,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:16,Saudi Arabia,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:17,Syrian Arab Republic,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:18,Tunisia,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:19,United Arab Emirates,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:20,Western Sahara,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY:21,Yemen,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
