conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SITE_FUNCTION_TYPE:1,Unknown,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:2,Agricultural/Pastoral,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:3,Defensive/Fortification,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:4,Domestic,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:5,Entertainment/Leisure,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:6,Funerary,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:7,Hunting/Fishing,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:8,Hydrological,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:9,Industrial/Productive,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:10,Infrastructure/Transport,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:11,Military,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:12,Maritime,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:13,Public (e.g. official/government),,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:14,Religious,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:15,Status/Display/Monumental,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_FUNCTION_TYPE:16,Trade/Commercial,,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
