conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
Period: 001,Unknown,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 002,Palaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 003,Palaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 004,Lower Palaeolithic (S. Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 005,Lower Palaeolithic (S. Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 006,Lower Palaeolithic (N. Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 007,Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 008,Palaeolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 009,Lower Palaeolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 010,Lower Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 011,Achelo-Yabrudian (N. Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 012,Middle Palaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 013,Middle Palaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 014,Middle Palaeolithic/Aterian/Acheulian (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 015,Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 016,Early Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 017,Mid-Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 018,Upper Palaeolithic (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 019,Late Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 020,Upper Palaeolithic/Ibero-Maur (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 021,Upper Palaeolithic/Ibero-Maur/Dabban (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 022,Transitional Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 023,Upper Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 024,Upper/Late Palaeolithic (Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 025,Upper Palaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 026,Upper Palaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 027,Late Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 028,Post-Paleolithic (Non-Diagnostic Stone),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 029,Epipalaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 030,Epipalaeolithic (Levant & Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 031,Natufian,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 032,Capsian (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 033,Pre-Pottery Neolithic (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 034,Mesolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 035,Epipalaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 036,Pre-Pottery Neolithic A (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 037,Epipalaeolithic/Capsian,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 038,"Early Neolithic (Negev, Sinai)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 039,Early Holocene/Late Palaeolithic (Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 040,Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 041,Early Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 042,Pre-Pottery Neolithic B (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 043,Neolithic (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 044,Mesolithic (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 045,Wadi Wutayya (Oman),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 046,Neolithic (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 047,Neolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 048,Pottery Neolithic (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 049,Early Pottery Neolithic (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 050,Earlier Pottery Neolithic/Pre-Pottery Neolithic C,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 051,Middle Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 052,Pastoral (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 053,Neolithic (Tripolitania),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 054,Qatar B Group (Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 055,Yarmoukian,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 056,Early Neolithic (Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 057,Hassuna,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 058,Pottery Neolithic/Late Neolithic (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 059,Arabian Bifacial System (Material),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 060,Middle Neolithic (Arabia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 061,Prehistoric (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 062,"Late Neolithic (Negev, Sinai)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 063,Halaf,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 064,Late Neolithic (Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 065,Wadi Rabah,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 066,Neolithic (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 067,Neolithic/Capsian (North/Central Tunisia and Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 068,Neolithic (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 069,Chalcolithic (Northern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 070,Chalcolithic (Southern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 071,Early Chalcolithic/Pre-Ghassulian (Southern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 072,Early Chalcolithic (Northern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 073,Predynastic Period (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 074,Predynastic Neolithic (Lower Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 075,Ubaid,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 076,Late Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 077,Middle Chalcolithic (Northern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 078,Late Ubaid-Early Chalcolithic (Northern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 079,Eneolithique (Southern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 080,Late Chalcolithic/Ghassulian (Southern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 081,Late Chalcolithic (Northern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 082,Predynastic Badarian (Upper Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
Period: 083,Late Chalcolithic 1 (Santa Fe/Northern Levant),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
