conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
PERIOD:001,Lower Palaeolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:002,Palaeolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:003,Middle Palaeolithic/Aterian/Acheulian (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:004,Upper Palaeolithic (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:005,Upper Palaeolithic/Ibero-Maur (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:006,Upper Palaeolithic/Ibero-Maur/Dabban (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:007,Capsian (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:008,Mesolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:009,Epipalaeolithic/Capsian,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:010,Mesolithic (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:011,Neolithic (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:012,Neolithic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:013,Pastoral (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:014,Neolithic (Tripolitania),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:015,Neolithic/Capsian (North/Central Tunisia and Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:016,Neolithic (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:017,Neolithic (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:018,Late Neolithic/Bronze Age (North/Central Tunisia and Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:019,Early Proto-historic (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:020,Early Proto-historic (Tripolitania),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:021,Early Proto-historic (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:022,Numide Ancienne (Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:023,Early Proto-historic (Algeria and Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:024,Early Iron Age/Archaic (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:025,Early Garamantian (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:026,Early Proto-historic/Caballine (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:027,Punic/Phoenician (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:028,Proto-historic/Punic (Tripolitania),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:029,Archaic (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:030,Late Proto-historic (Algeria and Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:031,Numide Moyenne (Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:032,Classical (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:033,Punic/Phoenician (Algeria and Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:034,Iron Age/Punic/Classical (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:035,PU Garamantia (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:036,Late Proto-historic/Caballine,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:037,Late Punic (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:038,Numide Recente (Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:039,Early Hellenistic (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:040,Numidian/Mauretanian Kingdoms (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:041,Late Punic/Mauretanian Kingdoms (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:042,Late Proto-historic/Numidian (Tripolitania),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:043,Hellenistic/Early Roman (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:044,Early Roman (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:045,Late Hellenistic (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:046,Client Kingdom (Algeria and Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:047,Roman Imperial (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:048,Classic Garamantian (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:049,Roman Era historic/Camelid (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:050,Roman Provincial (Tripolitania and North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:051,Roman Provincial (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:052,Roman Provincial (Algeria and Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:053,Late Antique I (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:054,Late Roman (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:055,"Late Roman (Tripolitania, North/Central Tunisia and Algeria)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:056,Late Roman (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:057,Late Antique/Camelid,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:058,Late Garamantian (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:059,Byzantine (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:060,Late Antique II (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:061,"Vandal (Tripolitania, North/Central Tunisia)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:062,Vandal/Berber Kingdoms (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:063,Byzantine (Tripolitania and North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:064,Byzantine (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:065,Byzantine/Berber Kingdoms (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:066,Early Medieval (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:067,Early Medieval/Saharan Trading Towns (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:068,Early Medieval/Ummayyad/Aghlabid/Fatamid (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:069,Early Medieval/Ummayyad/Rustamid/Fatamid (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:070,Early Medieval/Idrisid/Sijilmas (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:071,Early Medieval/Post-Garamantian (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:072,Late Medieval (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:073,Late Medieval (Cyrenaica),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:074,Late Medieval (Tripolitania),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:075,Later Medieval/Zirid/Almohad/Hafsid (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:076,Later Medieval/Berber dynasties (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:077,Later Medieval/Maqil Arab (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:078,Later Medieval/Almohad/Hafsid/Zayyanid (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:079,Late Medieval (Fazzan),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:080,Early Modern (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:081,Beys (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:082,Saadi/Alaouite (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:083,Early Modern (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:084,Early Ottoman/Beys (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:085,"Early Ottoman (Cyrenaica, Fazzan and Tripolitania)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:086,"Late Ottoman (Cyrenaica, Fazzan and Tripolitania)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:087,Ottoman/Colonial (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:088,French/Spanish Colonial (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:089,French Colonial (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:090,French Colonial (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:091,French Colonial (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:092,"Italian/British Colonial (Cyrenaica, Fazzan and Tripolitania)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:093,WWI-WWII (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:094,Contemporary (North Africa),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:095,Contemporary (North/Central Tunisia),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:096,"Contemporary/Present (Cyrenaica, Fazzan and Tripolitania)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:097,Contemporary/Present (Morocco),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:098,Contemporary/Present (Western Sahara),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:099,Contemporary/Present (Algeria),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:100,Lower Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:101,Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:102,Early Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:103,Mid-Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:104,Late Middle Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:105,Transitional Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:106,Upper Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:107,Late Palaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:108,Epipalaeolithic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:109,Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:110,Early Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:111,Middle Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:112,Late Neolithic (Saharan Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:113,Predynastic Period (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:114,Predynastic Neolithic (Lower Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:115,Predynastic Maadi Cultural Complex (Lower Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:116,Predynastic Badarian (Upper Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:117,Predynastic Naqada I/Amratian (Upper Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:118,Predynastic Naqada II/Gerzean (Upper Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:119,Predynastic Naqada III (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:120,Early Dynastic (Egypt),,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
PERIOD:121,"Early Dynastic, 1st Dynasty (Egypt)",,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,Eamena
