conceptid,Value,ValueType,Provider 
PERIOD:001,1,sortorder,Eamena
PERIOD:002,2,sortorder,Eamena
PERIOD:003,3,sortorder,Eamena
PERIOD:004,4,sortorder,Eamena
PERIOD:005,5,sortorder,Eamena
PERIOD:006,6,sortorder,Eamena
PERIOD:007,7,sortorder,Eamena
PERIOD:008,8,sortorder,Eamena
PERIOD:009,9,sortorder,Eamena
PERIOD:010,10,sortorder,Eamena
PERIOD:011,11,sortorder,Eamena
PERIOD:012,12,sortorder,Eamena
PERIOD:013,13,sortorder,Eamena
PERIOD:014,14,sortorder,Eamena
PERIOD:015,15,sortorder,Eamena
PERIOD:016,16,sortorder,Eamena
PERIOD:017,17,sortorder,Eamena
PERIOD:018,18,sortorder,Eamena
PERIOD:019,19,sortorder,Eamena
PERIOD:020,20,sortorder,Eamena
PERIOD:021,21,sortorder,Eamena
PERIOD:022,22,sortorder,Eamena
PERIOD:023,23,sortorder,Eamena
PERIOD:024,24,sortorder,Eamena
PERIOD:025,25,sortorder,Eamena
PERIOD:026,26,sortorder,Eamena
PERIOD:027,27,sortorder,Eamena
PERIOD:028,28,sortorder,Eamena
PERIOD:029,29,sortorder,Eamena
PERIOD:030,30,sortorder,Eamena
PERIOD:031,31,sortorder,Eamena
PERIOD:032,32,sortorder,Eamena
PERIOD:033,33,sortorder,Eamena
PERIOD:034,34,sortorder,Eamena
PERIOD:035,35,sortorder,Eamena
PERIOD:036,36,sortorder,Eamena
PERIOD:037,37,sortorder,Eamena
PERIOD:038,38,sortorder,Eamena
PERIOD:039,39,sortorder,Eamena
PERIOD:040,40,sortorder,Eamena
PERIOD:041,41,sortorder,Eamena
PERIOD:042,42,sortorder,Eamena
PERIOD:043,43,sortorder,Eamena
PERIOD:044,44,sortorder,Eamena
PERIOD:045,45,sortorder,Eamena
PERIOD:046,46,sortorder,Eamena
PERIOD:047,47,sortorder,Eamena
PERIOD:048,48,sortorder,Eamena
PERIOD:049,49,sortorder,Eamena
PERIOD:050,50,sortorder,Eamena
PERIOD:051,51,sortorder,Eamena
PERIOD:052,52,sortorder,Eamena
PERIOD:053,53,sortorder,Eamena
PERIOD:054,54,sortorder,Eamena
PERIOD:055,55,sortorder,Eamena
PERIOD:056,56,sortorder,Eamena
PERIOD:057,57,sortorder,Eamena
PERIOD:058,58,sortorder,Eamena
PERIOD:059,59,sortorder,Eamena
PERIOD:060,60,sortorder,Eamena
PERIOD:061,61,sortorder,Eamena
PERIOD:062,62,sortorder,Eamena
PERIOD:063,63,sortorder,Eamena
PERIOD:064,64,sortorder,Eamena
PERIOD:065,65,sortorder,Eamena
PERIOD:066,66,sortorder,Eamena
PERIOD:067,67,sortorder,Eamena
PERIOD:068,68,sortorder,Eamena
PERIOD:069,69,sortorder,Eamena
PERIOD:070,70,sortorder,Eamena
PERIOD:071,71,sortorder,Eamena
PERIOD:072,72,sortorder,Eamena
PERIOD:073,73,sortorder,Eamena
PERIOD:074,74,sortorder,Eamena
PERIOD:075,75,sortorder,Eamena
PERIOD:076,76,sortorder,Eamena
PERIOD:077,77,sortorder,Eamena
PERIOD:078,78,sortorder,Eamena
PERIOD:079,79,sortorder,Eamena
PERIOD:080,80,sortorder,Eamena
PERIOD:081,81,sortorder,Eamena
PERIOD:082,82,sortorder,Eamena
PERIOD:083,83,sortorder,Eamena
PERIOD:084,84,sortorder,Eamena
PERIOD:085,85,sortorder,Eamena
PERIOD:086,86,sortorder,Eamena
PERIOD:087,87,sortorder,Eamena
PERIOD:088,88,sortorder,Eamena
PERIOD:089,89,sortorder,Eamena
PERIOD:090,90,sortorder,Eamena
PERIOD:091,91,sortorder,Eamena
PERIOD:092,92,sortorder,Eamena
PERIOD:093,93,sortorder,Eamena
PERIOD:094,94,sortorder,Eamena
PERIOD:095,95,sortorder,Eamena
PERIOD:096,96,sortorder,Eamena
PERIOD:097,97,sortorder,Eamena
PERIOD:098,98,sortorder,Eamena
PERIOD:099,99,sortorder,Eamena
PERIOD:100,100,sortorder,Eamena
PERIOD:101,101,sortorder,Eamena
PERIOD:102,102,sortorder,Eamena
PERIOD:103,103,sortorder,Eamena
PERIOD:104,104,sortorder,Eamena
PERIOD:105,105,sortorder,Eamena
PERIOD:106,106,sortorder,Eamena
PERIOD:107,107,sortorder,Eamena
PERIOD:108,108,sortorder,Eamena
PERIOD:109,109,sortorder,Eamena
PERIOD:110,110,sortorder,Eamena
PERIOD:111,111,sortorder,Eamena
PERIOD:112,112,sortorder,Eamena
PERIOD:113,113,sortorder,Eamena
PERIOD:114,114,sortorder,Eamena
PERIOD:115,115,sortorder,Eamena
PERIOD:116,116,sortorder,Eamena
PERIOD:117,117,sortorder,Eamena
PERIOD:118,118,sortorder,Eamena
PERIOD:119,119,sortorder,Eamena
PERIOD:120,120,sortorder,Eamena
PERIOD:121,121,sortorder,Eamena
PERIOD:122,122,sortorder,Eamena
PERIOD:123,123,sortorder,Eamena
PERIOD:124,124,sortorder,Eamena
PERIOD:125,125,sortorder,Eamena
PERIOD:126,126,sortorder,Eamena
PERIOD:127,127,sortorder,Eamena
PERIOD:128,128,sortorder,Eamena
PERIOD:129,129,sortorder,Eamena
PERIOD:130,130,sortorder,Eamena
PERIOD:131,131,sortorder,Eamena
PERIOD:132,132,sortorder,Eamena
PERIOD:133,133,sortorder,Eamena
PERIOD:134,134,sortorder,Eamena
PERIOD:135,135,sortorder,Eamena
PERIOD:136,136,sortorder,Eamena
PERIOD:137,137,sortorder,Eamena
PERIOD:138,138,sortorder,Eamena
PERIOD:139,139,sortorder,Eamena
PERIOD:140,140,sortorder,Eamena
PERIOD:141,141,sortorder,Eamena
PERIOD:142,142,sortorder,Eamena
PERIOD:143,143,sortorder,Eamena
PERIOD:144,144,sortorder,Eamena
PERIOD:145,145,sortorder,Eamena
PERIOD:146,146,sortorder,Eamena
PERIOD:147,147,sortorder,Eamena
PERIOD:148,148,sortorder,Eamena
PERIOD:149,149,sortorder,Eamena
PERIOD:150,150,sortorder,Eamena
PERIOD:151,151,sortorder,Eamena
PERIOD:152,152,sortorder,Eamena
PERIOD:153,153,sortorder,Eamena
PERIOD:154,154,sortorder,Eamena
PERIOD:155,155,sortorder,Eamena
PERIOD:156,156,sortorder,Eamena
