conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_CAUSE_TYPE:1,No Visible/Known,No Visible/Known,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:2,Animal/Pest Infestation,Animal/Pest Infestation,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:3,Clearance (Bulldozing/Levelling),Clearance (Bulldozing/Levelling),DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:4,Clearance (Hand),Clearance (Hand),DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:5,Clearance (Unclassified),Clearance (Unclassified),DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:6,Conservation,Conservation,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:7,Construction,Construction,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:8,Demolition,Demolition,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:9,Drilling,Drilling,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:10,Dumping,Dumping,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:11,Excavation,Excavation,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:12,Explosion,Explosion,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:13,Fire,Fire,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:14,Flooding,Flooding,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:15,Grafitti,Grafitti,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
