conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_EFFECT_TYPE:1,Unknown,Unknown,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:2,Access Restriction,Access Restriction,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:3,Alteration of Terrain,Alteration of Terrain,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:4,Artefact Displacement,Artefact Displacement,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:5,Burning,Burning,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:6,Chemical Leaching,Chemical Leaching,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:7,Collapse/Structural Damage,Collapse/Structural Damage,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:8,Compacting,Compacting,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:9,Covered,Covered,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:10,Earth Displacement,Earth Displacement,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:11,Erosion,Erosion,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:12,Loss of Archaeological Material,Loss of Archaeological Material,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:13,Relocation of Archaeological Features,Relocation of Archaeological Features,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:14,Water Damage,Water Damage,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
