conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
DISTURBANCE_TYPE:1,Unknown,Unknown,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:2,Agricultural/Pastoral,Agricultural/Pastoral,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:3,Archaeological,Archaeological,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:4,Defensive/Fortification,Defensive/Fortification,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:5,Development,Development,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:6,Domestic,Domestic,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:7,Entertainment/Leisure,Entertainment/Leisure,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:8,Funerary/Memorial,Funerary/Memorial,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:9,Hunting/Fishing,Hunting/Fishing,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:10,Hydrological,Hydrological,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:11,Industrial/Productive,Industrial/Productive,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:12,Infrastructure/Transport,Infrastructure/Transport,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:13,Looting,Looting,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:14,Maritime,Maritime,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:15,Military,Military,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:16,Natural,Natural,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:17,Public,Public,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:18,Religious,Religious,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:19,Status/Display/Monumental,Status/Display/Monumental,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:20,Tourism/Visitor Activities,Tourism/Visitor Activities,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:21,Trade/Commercial,Trade/Commercial,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:22,Utilties,Utilties,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
