conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:1,Unknown,Unknown,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:2,Adjoining,Adjoining,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:3,Concentric,Concentric,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:4,Clustered,Clustered,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:5,Dispersed,Dispersed,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:6,Discrete,Discrete,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:7,Isolated,Isolated,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:8,Linear,Linear,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:9,Nucleated,Nucleated,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:10,Parallel,Parallel,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:11,Perpendicular,Perpendicular,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:12,Overlapping,Overlapping,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:13,Rectilinear,Rectilinear,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
