conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_INTERPRETATION_TYPE:1,Unknown,Unknown,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:2,Altar,Altar,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:3,Amphitheatre,Amphitheatre,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:4,Aqueduct,Aqueduct,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:5,Barrack,Barrack,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:6,Barrage/Dam,Barrage/Dam,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:7,Basilica (Roman),Basilica (Roman),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:8,Basin/Tank,Basin/Tank,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:9,Bath-house,Bath-house,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:10,Boundary/Barrier,Boundary/Barrier,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:11,Bridge,Bridge,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:12,Building,Building,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:13,Building/Enclosure,Building/Enclosure,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:14,Bunker,Bunker,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:15,Burnt Area,Burnt Area,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:16,Camp (temporary),Camp (temporary),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:17,Canal,Canal,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:18,Caravanserai/Khan,Caravanserai/Khan,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:19,Channel,Channel,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:20,Church/Chapel,Church/Chapel,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:21,Circus/Hippodrome,Circus/Hippodrome,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:22,Cistern,Cistern,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:23,Clearance Pile,Clearance Pile,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:24,Column/Obelisk,Column/Obelisk,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:25,"Crossbar Arrangement (""Gate"")","Crossbar Arrangement (""Gate"")",FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:26,Dolmen,Dolmen,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:27,Education/Athletics,Education/Athletics,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:28,Emplacement/Foxhole,Emplacement/Foxhole,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:29,Enclosure,Enclosure,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:30,Farm/Farm Building,Farm/Farm Building,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:31,Field System,Field System,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:32,Flooring/Mosaic/Paving,Flooring/Mosaic/Paving,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:33,Fort/Fortress/Castle,Fort/Fortress/Castle,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
