conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_SHAPE_TYPE:1,Unknown,Unknown,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:2,Circular,Circular,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:3,Curvilinear,Curvilinear,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:4,Irregular,Irregular,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:5,Polygonal,Polygonal,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:6,Rectangular/Square,Rectangular/Square,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:7,Rectilinear,Rectilinear,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:8,Semi-circular,Semi-circular,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:9,Straight,Straight,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:10,Sub-circular,Sub-circular,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:11,Sub-rectangular,Sub-rectangular,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:12,Winding,Winding,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:13,Zigzag,Zigzag,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:14,Multiple,Multiple,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
