conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_TYPE:1,Unknown,Unknown,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:2,Bank/Earthwork,Bank/Earthwork,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:3,Bank/Wall,Bank/Wall,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:4,Cave,Cave,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:5,Cleared Area,Cleared Area,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:6,Colour/Texture Difference,Colour/Texture Difference,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:7,Depression/Hollow,Depression/Hollow,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:8,Ditch/Trench,Ditch/Trench,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:9,Large Mound,Large Mound,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:10,Modified Rock Surface,Modified Rock Surface,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:11,Object,Object,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:12,Paved/Laid Surface,Paved/Laid Surface,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:13,Pit/Shaft/Tunnel,Pit/Shaft/Tunnel,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:14,Plant/Tree,Plant/Tree,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:15,Platform/Terrace,Platform/Terrace,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:16,Pyramid/Ziggurat,Pyramid/Ziggurat,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:17,Rubble Spread/Architectural Fragments,Rubble Spread/Architectural Fragments,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:18,Scatter,Scatter,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:19,Small Mound/Cairn,Small Mound/Cairn,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:20,Structure,Structure,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:21,Tower,Tower,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:22,Upright Stone,Upright Stone,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:23,Wall,Wall,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:24,Multi-Component,Multi-Component,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
