conceptid,Value,ValueType,Provider 
FEATURE_EVIDENCE_TYPE:1,1,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:2,2,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:3,3,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:4,4,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:5,5,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:6,6,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:7,7,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:8,8,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:9,9,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:10,10,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:11,11,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:12,12,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:13,13,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:14,14,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:15,15,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:16,16,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:17,17,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:18,18,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:19,19,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:20,20,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:21,21,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:22,22,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:23,23,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:24,24,sortorder,Eamena
