conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FROM:001,14000000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:002,14000000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:003,250000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:004,45000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:005,45000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:006,18000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:007,10000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:008,9900,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:009,9800,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:010,9700,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:011,9600,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:012,9500,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:013,9400,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:014,9300,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:015,9200,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:016,9100,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:017,9000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:018,8900,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:019,8800,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:020,8700,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:021,8600,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:022,8500,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:023,8400,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:024,8300,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:025,8200,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:026,8100,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:027,8000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:028,7900,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:029,7800,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:030,7700,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:031,7600,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:032,7500,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:033,7400,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:034,7300,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:035,7200,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:036,7100,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:037,7000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:038,6900,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:039,6800,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:040,6700,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:041,6600,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:042,6500,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:043,6400,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:044,6300,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:045,6200,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:046,6100,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:047,6000,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:048,5900,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:049,5800,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:050,5700,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:051,5600,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FROM:052,5500,,FROM_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
