conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SITE_OVERALL_INTERPRETATION_TYPE:1,Unknown,Unknown,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:2,Altar,Altar,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:3,Amphitheatre,Amphitheatre,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:4,Aqueduct,Aqueduct,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:5,Barrack,Barrack,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:6,Barrage/Dam,Barrage/Dam,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:7,Basilica (Roman),Basilica (Roman),SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:8,Basin/Tank,Basin/Tank,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:9,Bath-house,Bath-house,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:10,Boundary/Barrier,Boundary/Barrier,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:11,Bridge,Bridge,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:12,Building,Building,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:13,Building/Enclosure,Building/Enclosure,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:14,Bunker,Bunker,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:15,Burnt Area,Burnt Area,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:16,Camp (temporary),Camp (temporary),SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:17,Canal,Canal,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:18,Caravanserai/Khan,Caravanserai/Khan,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:19,Channel,Channel,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:20,Church/Chapel,Church/Chapel,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:21,Circus/Hippodrome,Circus/Hippodrome,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:22,Cistern,Cistern,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:23,Clearance Pile,Clearance Pile,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:24,Column/Obelisk,Column/Obelisk,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:25,Crossbar Arrangement (Gate),Crossbar Arrangement (Gate),SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:26,Dolmen,Dolmen,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:27,Education/Athletics,Education/Athletics,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:28,Emplacement/Foxhole,Emplacement/Foxhole,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:29,Enclosure,Enclosure,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:30,Farm/Farm Building,Farm/Farm Building,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:31,Field System,Field System,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:32,Flooring/Mosaic/Paving,Flooring/Mosaic/Paving,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:33,Fort/Fortress/Castle,Fort/Fortress/Castle,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:34,Fountain,Fountain,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:35,Gateway/Arch/Intersection ,Gateway/Arch/Intersection ,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:36,Gathering Area,Gathering Area,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:37,Grove/Garden/Orchard,Grove/Garden/Orchard,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:38,Hearth/Oven,Hearth/Oven,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:39,House,House,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:40,Hunting Hide/Trap,Hunting Hide/Trap,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:41,Inscription/Rock Art/Relief,Inscription/Rock Art/Relief,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:42,Kiln/Forge/Furnace,Kiln/Forge/Furnace,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:43,Kite,Kite,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:44,Large Circle,Large Circle,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:45,Latrine/Toilet,Latrine/Toilet,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:46,Managed Site,Managed Site,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:47,Market,Market,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:48,Megalithic Feature,Megalithic Feature,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:49,Midden/Waste Deposit,Midden/Waste Deposit,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:50,Mill (water),Mill (water),SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
