conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SITE_OVERALL_SHAPE_TYPE:1,Unknown,Unknown,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:2,User defined,User defined,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:3,Circular,Circular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:4,Curvilinear,Curvilinear,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:5,Irregular,Irregular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:6,Polygonal,Polygonal,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:7,Rectangular/Square,Rectangular/Square,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:8,Rectilinear,Rectilinear,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:9,Semi-circular,Semi-circular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:10,Straight,Straight,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:11,Sub-circular,Sub-circular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:12,Sub-rectangular,Sub-rectangular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:13,Winding,Winding,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:14,Zigzag,Zigzag,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
