conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
THREAT_CAUSE_TYPE:1,No Visible/Known,No Visible/Known,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:2,Animal/Pest Infestation,Animal/Pest Infestation,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:3,Clearance (Bulldozing/Levelling),Clearance (Bulldozing/Levelling),THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:4,Clearance (Hand),Clearance (Hand),THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:5,Clearance (Unclassified),Clearance (Unclassified),THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:6,Conservation,Conservation,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:7,Construction,Construction,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:8,Demolition,Demolition,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:9,Drilling,Drilling,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:10,Dumping,Dumping,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:11,Excavation,Excavation,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:12,Explosion,Explosion,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:13,Fire,Fire,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:14,Flooding,Flooding,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:15,Grafitti,Grafitti,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:16,Grazing/Animal Movement,Grazing/Animal Movement,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:17,Gunfire/Light Weaponry,Gunfire/Light Weaponry,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:18,Inundation,Inundation,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:19,Irrigation,Irrigation,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:20,Land/Rock Slide,Land/Rock Slide,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:21,Landmines,Landmines,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
