conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_CAUSE_TYPE:1,Animal/Pest Infestation (inc burrowing),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:2,Bulldozing/Levelling,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:3,Clearance (Bulldozing/Levelling),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:4,Clearance(Hand),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:5,Clearance(Unclassified),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:6,Conservation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:7,Construction,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:8,Demolition,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:9,Drilling,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:10,Dumping,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:11,Excavation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:12,Explosion,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:13,Fire,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:14,Flooding,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:15,Water Action,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:16,Wind Action,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:17,Grafitti,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:18,Grazing,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:19,Gunfire/Light Weaponry,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:20,Inundation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:21,Irrigation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:22,Land/Rock Slide,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:23,Landmines,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:24,Landscaping,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:25,Maintenance/Preventative Measures,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:26,Mining/Quarrying,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:27,No Visible/Known,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:28,Occupation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:29,Ploughing,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:30,Pollution,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:31,Precipitation,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:32,Railway,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:33,Reconstruction,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:34,Road/Track,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:35,Seismic Activity,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:36,Stationary Vehicle(s),,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:37,Structural Robbing,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:38,Temperature/Humidity Change,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:39,Trees,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:40,Tunelling,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:41,Vegetation/Crops,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_CAUSE_TYPE:42,Volcanic Eruption,,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
