conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider ,Source
DISTURBANCE_TYPE:1,Agricultural/Pastoral,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:2,Archaeological,,DISTURBANCE_TYPE:1,Index,GCI,
DISTURBANCE_TYPE:3,Defensive/Fortification,,DISTURBANCE_TYPE:1,Index,GCI,
DISTURBANCE_TYPE:4,Development,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:5,Domestic,,DISTURBANCE_TYPE:4,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:6,Funerary/Memorial,,DISTURBANCE_TYPE:4,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:7,Hunting/Fishing,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:8,Hydrological,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:9,Industrial/Productive,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:10,Infrastructure/Transport,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:11,Looting,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:12,Maritime,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:13,Military,,DISTURBANCE_TYPE:12,Index,GCI,
DISTURBANCE_TYPE:14,Natural,,DISTURBANCE_TYPE:12,Index,GCI,
DISTURBANCE_TYPE:15,Public,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:16,Religious,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:17,Status/Display/Memorial,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:18,Tourism/Visitor Activities,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:19,Utilities,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:20,Unknown,,DISTURBANCE_TYPE:15,Index,GCI,
