conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:1,Adjoining,Adjoining,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:2,Clustered (positioned in a close group or arrangement),Clustered (positioned in a close group or arrangement),FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:3,Dispersed,Dispersed,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:4,Isolated,Isolated,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:5,Linear (not necessarily straight),Linear (not necessarily straight),FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:6,Nucleated (arranged around a central space/feature),Nucleated (arranged around a central space/feature),FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:7,Parallel,Parallel,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:8,Perpendicular,Perpendicular,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:9,Overlapping,Overlapping,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:10,Rectilinear,Rectilinear,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:11,Unknown,Unknown,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
