conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_INTERPRETATION_TYPE:1,Altar,Altar,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:2,Amphitheatre,Amphitheatre,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:3,Aqueduct,Aqueduct,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:4,Barracks,Barracks,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:5,Barrage/Dam,Barrage/Dam,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:6,Basilica (Roman),Basilica (Roman),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:7,Basin/Tank (include cupmarks/cupholes),Basin/Tank (include cupmarks/cupholes),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:8,Bath-house,Bath-house,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:9,Boundary/Barrier (including clausurae),Boundary/Barrier (including clausurae),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:10,Bridge(s),Bridge(s),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:11,Building,Building,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:12,Building/Enclosure,Building/Enclosure,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:13,Bunker,Bunker,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:14,Camp (temporary),Camp (temporary),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:15,Canal(s),Canal(s),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:16,Caravanserai/Khan,Caravanserai/Khan,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:17,Channel,Channel,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:18,Church/Chapel,Church/Chapel,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:19,Circus/Hippodrome,Circus/Hippodrome,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:20,Cistern(s),Cistern(s),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:21,Clearance Pile,Clearance Pile,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:22,Column(s)/Obelisk,Column(s)/Obelisk,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:23,Dolmen(s) [Always upright stone features],Dolmen(s) [Always upright stone features],FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:24,Education/Athletics,Education/Athletics,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:25,Emplacement/Foxhole,Emplacement/Foxhole,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:26,Enclosure,Enclosure,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:27,Farm/Farm Building,Farm/Farm Building,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:28,Field System,Field System,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:29,Flooring/Mosaic/Paving,Flooring/Mosaic/Paving,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:30,Fort/Fortress/Castle,Fort/Fortress/Castle,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:31,Fountain(s),Fountain(s),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:32,Garden,Garden,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:33,Gate [need a better term],Gate [need a better term],FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:34,Gateway/Arch/Intersection (eg. Tetrapylon),Gateway/Arch/Intersection (eg. Tetrapylon),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:35,"Gathering Area (Forum, Agora etc.)","Gathering Area (Forum, Agora etc.)",FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:36,Hearth(s)/Oven(s),Hearth(s)/Oven(s),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:37,House,House,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:38,Hunting Hide/Trap,Hunting Hide/Trap,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:39,Inscription(s)/Rock Art/Relief,Inscription(s)/Rock Art/Relief,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:40,Kiln(s)/Forge/Furnace,Kiln(s)/Forge/Furnace,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:41,Kite(s),Kite(s),FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:42,Large Circle,Large Circle,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
