conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_TYPE:1,Bank/Earthwork,Bank/Earthwork,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:2,Bank/Wall,Bank/Wall,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:3,Cave,Cave,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:4,Cleared Area,Cleared Area,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:5,Colour/Texture Difference,Colour/Texture Difference,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:6,Depression/Hollow,Depression/Hollow,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:7,Ditch/Trench,Ditch/Trench,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:8,Large Mound,Large Mound,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:9,Modified Rock Surface,Modified Rock Surface,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:10,Object,Object,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:11,Paved/Laid Surface,Paved/Laid Surface,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:12,Pit/Shaft/Tunnel,Pit/Shaft/Tunnel,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:13,Plant(s)/Tree(s),Plant(s)/Tree(s),FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:14,PlatEVIDENCE/Terrace,PlatEVIDENCE/Terrace,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:15,Pyramid/Ziggurat,Pyramid/Ziggurat,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:16,Rubble Spread/Architectural Fragments,Rubble Spread/Architectural Fragments,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:17,Scatter,Scatter,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:18,Small Mound/Cairn,Small Mound/Cairn,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:19,Structure(s),Structure(s),FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:20,Tower,Tower,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:21,Unknown,Unknown,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:22,Upright Stone(s),Upright Stone(s),FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:23,Wall(s),Wall(s),FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
