conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SITE_OVERALL_SHAPE_TYPE:1,Circular,Circular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:2,Curvilinear,Curvilinear,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:3,Irregular,Irregular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:4,Polygonal,Polygonal,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:5,Rectangular/Square,Rectangular/Square,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:6,Rectilinear,Rectilinear,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:7,Semi-circular,Semi-circular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:8,Straight,Straight,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:9,Sub-circular,Sub-circular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:10,Sub-rectangular,Sub-rectangular,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:11,User defined,User defined,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:12,Winding,Winding,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:13,Zigzag,Zigzag,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:14,Unknown,Unknown,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
