conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
THREAT_CAUSE_TYPE:1,Animal/Pest Infestation (inc burrowing),,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:2,Bulldozing/Levelling,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:3,Clearance (Bulldozing/Levelling),,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:4,Clearance(Hand),,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:5,Clearance(Unclassified),,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:6,Conservation,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:7,Construction,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:8,Demolition,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:9,Drilling,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:10,Dumping,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:11,Excavation,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:12,Explosion,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:13,Fire,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:14,Flooding,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:15,Water Action,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:16,Wind Action,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:17,Grafitti,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:18,Grazing,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:19,Gunfire/Light Weaponry,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:20,Inundation,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:21,Irrigation,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:22,Land/Rock Slide,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:23,Landmines,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:24,Landscaping,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:25,Maintenance/Preventative Measures,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:26,Mining/Quarrying,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:27,No Visible/Known,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:28,Occupation,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:29,Ploughing,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:30,Pollution,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:31,Precipitation,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:32,Railway,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:33,Reconstruction,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:34,Road/Track,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:35,Seismic Activity,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:36,Stationary Vehicle(s),,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:37,Structural Robbing,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:38,Temperature/Humidity Change,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:39,Trees,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:40,Tunelling,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:41,Vegetation/Crops,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:42,Volcanic Eruption,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:43,Water Action,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:44,Wind Action,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_CAUSE_TYPE:45,Unknown,,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
