conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
THREAT_EFFECT_TYPE:1,Access Restriction,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:2,Alteration of Terrain,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:3,Artefact Displacement,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:4,Buried ,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:5,Burning,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:6,Chemical Leaching,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:7,Collapse/Structural Damage,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:8,Compacting,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:9,Covered,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:10,Earth Displacement,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:11,Erosion,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:12,Loss of Archaeological Material,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:13,Relocation of Archaeological Features,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:14,Water Damage,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
THREAT_EFFECT_TYPE:15,Unknown,,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
