conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider ,Source
THREAT_TYPE:1,Agricultural/Pastoral,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:2,Archaeological,,THREAT_TYPE:1,Index,GCI,
THREAT_TYPE:3,Defensive/Fortification,,THREAT_TYPE:1,Index,GCI,
THREAT_TYPE:4,Development,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:5,Domestic,,THREAT_TYPE:4,Index,GCI,AAT/Events (activities)
THREAT_TYPE:6,Funerary/Memorial,,THREAT_TYPE:4,Index,GCI,AAT/Events (activities)
THREAT_TYPE:7,Hunting/Fishing,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:8,Hydrological,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:9,Industrial/Productive,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:10,Infrastructure/Transport,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:11,Looting,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:12,Maritime,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:13,Military,,THREAT_TYPE:12,Index,GCI,
THREAT_TYPE:14,Natural,,THREAT_TYPE:12,Index,GCI,
THREAT_TYPE:15,Public,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:16,Religious,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:17,Status/Display/Memorial,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:18,Tourism/Visitor Activities,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:19,Utilities,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:20,Unknown,,THREAT_TYPE:15,Index,GCI,
