conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
TO:001,14000000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:002,14000000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:003,250000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:004,45000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:005,45000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:006,18000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:007,10000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:008,9900,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:009,9800,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:010,9700,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:011,9600,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:012,9500,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:013,9400,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:014,9300,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:015,9200,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:016,9100,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:017,9000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:018,8900,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:019,8800,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:020,8700,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:021,8600,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:022,8500,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:023,8400,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:024,8300,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:025,8200,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:026,8100,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:027,8000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:028,7900,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:029,7800,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:030,7700,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:031,7600,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:032,7500,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:033,7400,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:034,7300,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:035,7200,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:036,7100,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:037,7000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:038,6900,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:039,6800,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:040,6700,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:041,6600,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:042,6500,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:043,6400,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:044,6300,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:045,6200,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:046,6100,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:047,6000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:048,5900,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:049,5800,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:050,5700,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:051,5600,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:052,5500,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:053,5400,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:054,5300,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:055,5200,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:056,5100,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:057,5000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:058,4900,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:059,4800,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:060,4700,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:061,4600,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:062,4500,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:063,4400,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:064,4300,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:065,4200,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:066,4100,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:067,4000,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:068,3900,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:069,3800,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:070,3700,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
