conceptid,Value,ValueType,Provider 
DISTURBANCE_CAUSE_TYPE:1,001,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:2,002,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:3,003,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:4,004,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:5,005,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:6,006,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:7,007,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:8,008,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:9,009,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:10,010,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:11,011,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:12,012,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:13,013,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:14,014,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:15,015,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:16,016,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:17,017,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:18,018,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:19,019,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:20,020,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:21,021,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:22,022,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:23,023,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:24,024,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:25,025,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:26,026,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:27,027,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:28,028,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:29,029,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:30,030,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:31,031,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:32,032,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:33,033,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:34,034,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:35,035,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:36,036,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:37,037,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:38,038,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:39,039,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:40,040,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:41,041,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:42,042,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:43,043,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:44,044,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:45,045,sortorder,Eamena
DISTURBANCE_CAUSE_TYPE:46,046,sortorder,Eamena
