conceptid,Value,Valuetype,Provider 
DISTURBANCE_TYPE:1,001,sortorder,GCI
DISTURBANCE_TYPE:2,002,sortorder,GCI
DISTURBANCE_TYPE:3,003,sortorder,GCI
DISTURBANCE_TYPE:4,004,sortorder,GCI
DISTURBANCE_TYPE:5,005,sortorder,GCI
DISTURBANCE_TYPE:6,006,sortorder,GCI
DISTURBANCE_TYPE:7,007,sortorder,GCI
DISTURBANCE_TYPE:8,008,sortorder,GCI
DISTURBANCE_TYPE:9,009,sortorder,GCI
DISTURBANCE_TYPE:10,010,sortorder,GCI
DISTURBANCE_TYPE:11,011,sortorder,GCI
DISTURBANCE_TYPE:12,012,sortorder,GCI
DISTURBANCE_TYPE:13,013,sortorder,GCI
DISTURBANCE_TYPE:14,014,sortorder,GCI
DISTURBANCE_TYPE:15,015,sortorder,GCI
DISTURBANCE_TYPE:16,016,sortorder,GCI
DISTURBANCE_TYPE:17,017,sortorder,GCI
DISTURBANCE_TYPE:18,018,sortorder,GCI
DISTURBANCE_TYPE:19,019,sortorder,GCI
DISTURBANCE_TYPE:20,020,sortorder,GCI
DISTURBANCE_TYPE:21,021,sortorder,GCI
DISTURBANCE_TYPE:22,022,sortorder,GCI
