conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
XREF_TYPE:1,Abdallah 1995,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:2,Abdulkarim 2013,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:3,Abdulkarim 2014,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:4,Abdullah et al. 1997,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:5,Abrams et al. 2002,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:6,Abrams et al. 2010,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:7,Abu Dayyeh et al. 1991,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:8,Abu Shmays & Waheeb 1999,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:9,Abu Shmays 2001,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:10,Acconci & Gabrieli 1994,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:11,Acconci et al. 1993,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:12,ACOR 1996,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:13,Adams & Nissen 1972,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:14,Adams 1981,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:15,Adams 1982,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:16,Adams et al. 1981,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:17,Addiyar 2012,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:18,Agapiou et al. 2012,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:19,Agnew & Palumbo 2005,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:20,Agnew et al. 2003,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:21,Aji 2012,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:22,Akinkurolere et al. 2006,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:23,Akkermans & Schwarz 2003,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:24,Al Arabiya 2013,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:25,al-Hussainy & Matthews 2008,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:26,Al-Nounou 2012,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:27,al-Radi & Stone 1983,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:28,al-Radi & Stone 1983,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
XREF_TYPE:29,Al-Youm 2015,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
