conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_INTERPRETATION_TYPE:1,Unknown,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:2,Altar,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:3,Amphitheatre,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:4,Aqueduct,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:5,Barrack,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:6,Barrage/Dam,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:7,Basilica (Roman),,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:8,Basin/Tank,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:9,Bath-house,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:10,Boundary/Barrier,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:11,Bridge,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:12,Building,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:13,Building/Enclosure,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:14,Bunker,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:15,Burnt Area,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:16,Camp (temporary),,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:17,Canal,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:18,Caravanserai/Khan,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:19,Channel,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:20,Church/Chapel,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:21,Circus/Hippodrome,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:22,Cistern,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:23,Clearance Pile,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:24,Column/Obelisk,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:25,Dolmen,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:26,Education/Athletics Building,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:27,Emplacement/Foxhole,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:28,Enclosure,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:29,Farm,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:30,Farm Building,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:31,Field System,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:32,Flooring/Mosaic/Paving,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:33,Fort/Fortress/Castle,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:34,Fountain,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:35,Crossbar Arrangement (Gate),,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:36,Gateway/Arch/Intersection ,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:37,Gathering Area,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:38,Grove/Garden/Orchard,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:39,Hearth/Oven,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:40,House,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:41,Hunting Hide/Trap,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:42,Inscription/Rock Art/Relief,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:43,Kiln/Forge/Furnace,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:44,Kite,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE:45,Large Circle,,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
