conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_SHAPE_TYPE:1,Unknown,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:2,Circular,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:3,Curvilinear,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:4,Irregular,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:5,Multiple,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:6,Polygonal,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:7,Rectangular/Square,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:8,Rectilinear,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:9,Semi-circular,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:10,Straight,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:11,Sub-circular,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:12,Sub-rectangular,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:13,Triangular,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:14,Winding,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:15,Zigzag,,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
