conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_TYPE:1,Unknown,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:2,Bank/Earthwork,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:3,Bank/Wall,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:4,Cave,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:5,Cleared Area,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:6,Colour/Texture Difference,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:7,Depression/Hollow,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:8,Ditch/Trench,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:9,Large Mound,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:10,Modified Rock Surface,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:11,Multi-Component,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:12,Object,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:13,Paved/Laid Surface,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:14,Pit/Shaft/Tunnel,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:15,Plant/Tree,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:16,Platform/Terrace,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:17,Pyramid/Ziggurat,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:18,Rubble Spread/Architectural Fragments,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:19,Scatter,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:20,Small Mound/Cairn,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:21,Structure,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:22,Tower,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:23,Unknown,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:24,Upright Stone,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_TYPE:25,Wall,,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
