conceptid,Preflabel,altlabels,ParentConceptid,ConceptType,Provider
LANGUAGE:1,Abkhaz,ab,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:2,Afar,aa,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:3,Afrikaans,af,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:4,Akan,ak,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:5,Albanian,sq,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:6,Amharic,am,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:7,Arabic,ar,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:8,Aragonese,an,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:9,Armenian,hy,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:10,Assamese,as,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:11,Avaric,av,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:12,Avestan,ae,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:13,Aymara,ay,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:14,Azerbaijani,az,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:15,Bambara,bm,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:16,Bashkir,ba,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:17,Basque,eu,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:18,Belarusian,be,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:19,Bengali/Bangla,bn,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:20,Bihari,bh,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:21,Bislama,bi,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:22,Bosnian,bs,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:23,Breton,br,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:24,Bulgarian,bg,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:25,Burmese,my,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
LANGUAGE:26,Catalan/Valencian,ca,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,LOC/ISO 639-1
