conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MAP_SOURCE_TYPE:1,Source: ArcGIS (Digital Globe); Imagery Type: WorldView-2; Mission/Image Details:; Date: 05/01/2010,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:2,Source: ArcGIS (Digital Globe); Imagery Type: WorldView-2; Mission/Image Details:; Date: 23/10/2010,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:3,Source: METI/NASA; Imagery Type: ASTER GDEM; Mission/Image Details:; Date:,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:4,Source: Microsoft Corporation/Digitial Globe; Imagery Type: WorldView-2; Mission/Image Details:; Date: 06/01/2012,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:5,Source: Microsoft Corporation/Digitial Globe; Imagery Type: WorldView-2; Mission/Image Details:; Date: 25/01/2012,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:6,Source: Microsoft Corporation/Digitial Globe; Imagery Type: WorldView-2; Mission/Image Details:; Date: 25/12/2009,,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:7,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-1a; Date: 1960",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:8,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-1d; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:9,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-2c; Date: 1966",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:10,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-2d; Date: 1963",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:11,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-3d-4c; Date: 1960",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:12,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-4a; Date: 1960",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:13,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-4d; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:14,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XII-Ib; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:15,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XIII-4b; Date: 1960",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:16,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XVIII-2a; Date: 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:17,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XVIII-2b; Date: 1960",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:18,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XVIII-2c; Date: 1960",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:19,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-36-XVIII-2d; Date: 1933",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:20,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-37-VII-3a; Date: 1959",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:21,"Source: Service Géographique de l'Armée; Imagery Type: Liban 1: 50,000 Map; Mission/Image Details: NI-37-XIII-Ib; Date: 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:22,"Source: Service Géographique des F.F.LL.-M.O.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NI-37-VII-1b; Date: October 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:23,"Source: Service Géographique des F.F.LL.-M.O.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NI-37-XIX-4d; Date: December 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:24,"Source: Service Géographique des F.F.LL.-M.O.; Imagery Type: South Levant 1: 50,000 Map; Mission/Image Details: NI-36-X2-NE; Date: August 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:25,"Source: Service Géographique des F.F.LL.-M.O.; Imagery Type: South Levant 1: 50,000 Map; Mission/Image Details: NI-36-X4-SE; Date: March 1944",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:26,"Source: Service Géographique des F.F.LL.-M.O.; Imagery Type: South Levant 1: 50,000 Map; Mission/Image Details: NI-37-SI-NE; Date: July 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:27,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NI-36-XVIII-4d; Date: June 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:28,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NI-37-VII-Ia; Date: September 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:29,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NI-37-XIII-2a; Date: November 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:30,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NI-37-XVII-4a; Date: March 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:31,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-2a; Date: July 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:32,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-2b; Date: August 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:33,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-2c; Date: June 1944",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:34,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-2d; Date: July 1944",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:35,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-4a; Date: August 1944",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:36,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-4b; Date: August 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:37,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-4c; Date: November 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:38,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-4d; Date: June 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:39,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-Ib; Date: August 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:40,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-I-Id; Date: July 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:41,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-II-1c; Date: 1934",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:42,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-II-1d; Date: August 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:43,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-II-3a; Date: August 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:44,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-II-4a; Date: September 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:45,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-II-4b; Date: November 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:46,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-II-4d; Date: September 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:47,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-2b; Date: March 1944",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:48,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-3a; Date: November 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:49,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-3b; Date: August 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:50,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-3b; Date: September 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:51,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-3c; Date: November 1942",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:52,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-3d; Date: October 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:53,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-4a; Date: August 1945",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:54,"Source: Service Géographique des F.F.LL.; Imagery Type: Levant 1: 50,000 Map; Mission/Image Details: NJ-37-III-4e; Date: May 1943",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
MAP_SOURCE_TYPE:55,"Source: Survey Directorate G.H.Q.; Imagery Type: Levant 1: 200,000 Map; Mission/Image Details: NI-37-VII; Date: August 1941",,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
