conceptid,Value,ValueType,Provider 
MODERN_COUNTRY_TERRITORY_Type:1,001,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:2,002,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:3,003,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:4,004,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:5,005,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:6,006,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:7,007,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:8,008,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:9,009,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:10,010,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:11,011,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:12,012,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:13,013,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:14,014,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:15,015,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:16,016,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:17,017,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:18,018,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:19,019,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:20,020,sortorder,Eamena
MODERN_COUNTRY_TERRITORY_Type:21,021,sortorder,Eamena
