conceptid,Value,ValueType,Provider 
SITE_OVERALL_INTERPRETATION_TYPE:1,001,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:2,002,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:3,003,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:4,004,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:5,005,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:6,006,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:7,007,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:8,008,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:9,009,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:10,010,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:11,011,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:12,012,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:13,013,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:14,014,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:15,015,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:16,016,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:17,017,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:18,018,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:19,019,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:20,020,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:21,021,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:22,022,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:23,023,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:24,024,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:25,025,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:26,026,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:27,027,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:28,028,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:29,029,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:30,030,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:31,031,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:32,032,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:33,033,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:34,034,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:35,035,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:36,036,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:37,037,sortorder,Eamena
SITE_OVERALL_INTERPRETATION_TYPE:38,038,sortorder,Eamena
