conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
THREAT_TYPE:1,Unknown,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:2,Agricultural/Pastoral,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:3,Archaeological,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:4,Defensive/Fortification,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:5,Development,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:6,Domestic,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:7,Entertainment/Leisure,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:8,Funerary/Memorial,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:9,Hunting/Fishing,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:10,Hydrological,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:11,Industrial/Productive,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:12,Infrastructure/Transport,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:13,Looting,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:14,Maritime,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:15,Military,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:16,Natural,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:17,Public,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:18,Religious,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:19,Status/Display/Monumental,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:20,Tourism/Visitor Activities,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:21,Trade/Commercial,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
THREAT_TYPE:22,Utilties,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
