conceptid,Value,Valuetype,Provider 
THREAT_TYPE:1,001,sortorder,GCI
THREAT_TYPE:2,002,sortorder,GCI
THREAT_TYPE:3,003,sortorder,GCI
THREAT_TYPE:4,004,sortorder,GCI
THREAT_TYPE:5,005,sortorder,GCI
THREAT_TYPE:6,006,sortorder,GCI
THREAT_TYPE:7,007,sortorder,GCI
THREAT_TYPE:8,008,sortorder,GCI
THREAT_TYPE:9,009,sortorder,GCI
THREAT_TYPE:10,010,sortorder,GCI
THREAT_TYPE:11,011,sortorder,GCI
THREAT_TYPE:12,012,sortorder,GCI
THREAT_TYPE:13,013,sortorder,GCI
THREAT_TYPE:14,014,sortorder,GCI
THREAT_TYPE:15,015,sortorder,GCI
THREAT_TYPE:16,016,sortorder,GCI
THREAT_TYPE:17,017,sortorder,GCI
THREAT_TYPE:18,018,sortorder,GCI
THREAT_TYPE:19,019,sortorder,GCI
THREAT_TYPE:20,020,sortorder,GCI
THREAT_TYPE:21,021,sortorder,GCI
THREAT_TYPE:22,022,sortorder,GCI
