conceptid,Value,ValueType,Provider 
DISTURBANCE_EFFECT_TYPE:1,1,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:2,2,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:3,3,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:4,4,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:5,5,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:6,6,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:7,7,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:8,8,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:9,9,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:10,10,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:11,11,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:12,12,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:13,13,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:14,14,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:15,15,sortorder,Eamena
DISTURBANCE_EFFECT_TYPE:16,16,sortorder,Eamena
