conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
DISTURBANCE_TYPE:1,Unknown,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:2,Agricultural/Pastoral,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:3,Archaeological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:4,Defensive/Fortification,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:5,Development,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:6,Domestic,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:7,Entertainment/Leisure,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:8,Funerary/Memorial,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:9,Hunting/Fishing,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:10,Hydrological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:11,Industrial/Productive,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:12,Infrastructure/Transport,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:13,Looting,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:14,Maritime,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:15,Military,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:16,Natural,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:17,Public,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:18,Religious,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:19,Status/Display/Monumental,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:20,Tourism/Visitor Activities,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:21,Trade/Commercial,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
DISTURBANCE_TYPE:22,Utilties,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,eamena
