conceptid,Preflabel,Altlabels,ParentConceptid,ConceptType,Provider
INFO_CARRIER:1,33rpm record,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:2,45rpm record,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:3,78rpm record,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:4,AAC,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:5,acetate photographic film,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:6,archival paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:7,art paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:8,AVI,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:9,board,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:10,card - paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:11,cartridge paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:12,cassette tape,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:13,cd-recordable,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:14,clear drawing film,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:15,cloth,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:16,compact disc,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:17,CSV,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:18,DIGITAL FILE FORMAT,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,GCI
INFO_CARRIER:19,drawing paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:20,general/ordinary paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:21,GIF,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:22,glass photographic plate,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:23,graph paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:24,HTML,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:25,JPEG,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:26,linen backed paper,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:27,magnetic disk,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:28,MOV,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:29,MP3,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:30,MP4,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:31,nitrate photographic film,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:32,other digital file format,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:33,other material,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:34,paper coated with photographic emulsion,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INFO_CARRIER:35,PDF,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
