conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptEFFECT,Provider
MODERN_COUNTRY_TERRITORY_Type:1,Algeria,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:2,Bahrain,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:3,Egypt,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:4,Iran (Islamic Republic of),,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:5,Iraq,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:6,Israel,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:7,Jordan,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:8,Kuwait,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:9,Lebanon,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:10,Libya,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:11,Mauretania,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:12,Morocco,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:13,Oman,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:14,Palestine,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:15,Qatar,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:16,Saudi Arabia,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:17,Syrian Arab Republic,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:18,Tunisia,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:19,United Arab Emirates,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:20,Western Sahara,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
MODERN_COUNTRY_TERRITORY_Type:21,Yemen,,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.csv,Index,Eamena
