conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:1,Unknown,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:2,Adjoining,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:3,Concentric,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:4,Clustered,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:5,Dispersed,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:6,Discrete,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:7,Isolated,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:8,Linear,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:9,Multiple,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:10,Nucleated,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:11,Parallel,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:12,Perpendicular,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:13,Overlapping,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:14,Rectilinear,,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
