conceptid,Value,ValueType,Provider 
FEATURE_EVIDENCE_TYPE:1,001,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:2,002,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:3,003,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:4,004,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:5,005,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:6,006,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:7,007,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:8,008,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:9,009,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:10,010,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:11,011,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:12,012,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:13,013,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:14,014,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:15,015,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:16,016,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:17,017,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:18,018,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:19,019,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:20,020,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:21,021,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:22,022,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:23,023,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:24,024,sortorder,Eamena
FEATURE_EVIDENCE_TYPE:25,025,sortorder,Eamena
