conceptid,Preflabel,Altlabels,ParentConceptid,ConceptType,Provider 
INFO_RES:1,Collection,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Collector,DC
INFO_RES:2,Dataset,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:3,Document/Text,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:4,Image,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:5,Interactive Resource,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:6,Moving Image,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:7,Physical Object,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:8,Service,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:9,Software,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:10,Sound,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
INFO_RES:11,Still Image,,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,DC
