conceptid,Value,ValueType,Provider 
MODERN_COUNTRY_TERRITORY:1,001,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:2,002,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:3,003,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:4,004,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:5,005,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:6,006,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:7,007,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:8,008,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:9,009,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:10,010,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:11,011,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:12,012,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:13,013,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:14,014,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:15,015,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:16,016,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:17,017,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:18,018,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:19,019,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:20,020,sortorder,Eamena
MODERN_COUNTRY_TERRITORY:21,021,sortorder,Eamena
