conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SITE_OVERALL_SHAPE_TYPE:1,Unknown,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:2,User defined,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:3,Circular,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:4,Curvilinear,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:5,Irregular,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:6,Polygonal,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:7,Rectangular/Square,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:8,Rectilinear,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:9,Semi-circular,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:10,Straight,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:11,Sub-circular,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:12,Sub-rectangular,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:13,Triangular,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:14,Winding,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
SITE_OVERALL_SHAPE_TYPE:15,Zigzag,,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
