conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
TO:001,400000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:002,250000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:003,150000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:004,80000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:005,70000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:006,50000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:007,45000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:008,24000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:009,18000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:010,10700 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:011,10500 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:012,10000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:013,9950 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:014,9900 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:015,9850 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:016,9800 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:017,9750 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:018,9700 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:019,9650 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:020,9600 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:021,9550 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:022,9500 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:023,9450 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:024,9400 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:025,9350 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:026,9300 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:027,9250 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:028,9200 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:029,9150 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:030,9100 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:031,9050 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:032,9000 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:033,8950 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:034,8900 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:035,8850 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:036,8800 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:037,8750 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:038,8700 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:039,8650 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:040,8600 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:041,8550 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:042,8500 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:043,8450 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:044,8400 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:045,8350 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:046,8300 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:047,8250 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
TO:048,8200 BC,,TO_DATE_AUTHORITY_DOCUMENT.csv,Index,Eamena
