Id,Label,mergenode,businesstable
639,ADDITIONAL_INFORMATION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
638,ADDITIONAL_INFORMATION.E55,HERITAGE_RESOURCE.E18,domains
482,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
481,ADDRESS_TYPE.E55,PLACE.E53,domains
72,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
71,ADMINISTRATIVE_SUBDIVISION_TYPE.E55,PLACE.E53,domains
28,ADMINISTRATIVE_SUBDIVISION.E48,PLACE.E53,strings
93,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
92,ANCILLARY_FEATURE_TYPE.E55,PRODUCTION.E12,domains
759,ASSESSMENT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
758,ASSESSMENT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
760,ASSESSOR_NAME.E41,CONDITION_ASSESSMENT.E14,strings
504,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,HERITAGE_RESOURCE.E18,
505,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
503,BEGINNING_OF_EXISTENCE_TYPE.E55,HERITAGE_RESOURCE.E18,domains
501,BEGINNING_OF_EXISTENCE.E63,HERITAGE_RESOURCE.E18,
33,CONDITION_ASSESSMENT.E14,HERITAGE_RESOURCE.E18,
52,CONDITION_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
480,CONDITION_DESCRIPTION.E62,CONDITION_ASSESSMENT.E14,strings
511,CONDITION_IMAGE_FILE_PATH.E62,CONDITION_ASSESSMENT.E14,files
513,CONDITION_IMAGE_THUMBNAIL.E62,CONDITION_ASSESSMENT.E14,files
512,CONDITION_IMAGE.E73,CONDITION_ASSESSMENT.E14,
19,CONDITION_STATE.E3,CONDITION_ASSESSMENT.E14,
12,CONDITION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
13,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
656,CULTURAL_PERIOD_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
655,CULTURAL_PERIOD_CERTAINTY_TYPE.E55,PRODUCTION.E12,domains
55,CULTURAL_PERIOD.E55,PRODUCTION.E12,domains
11,DATE_CONDITION_ASSESSED.E49,CONDITION_ASSESSMENT.E14,dates
517,DATE_EVALUATED.E49,HERITAGE_RESOURCE.E18,dates
761,DATE_RESOURCE_ASSESSED.E49,CONDITION_ASSESSMENT.E14,dates
7,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
465,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
464,DESCRIPTION_TYPE.E55,HERITAGE_RESOURCE.E18,domains
94,DESCRIPTION.E62,HERITAGE_RESOURCE.E18,strings
8,DESIGNATION_OR_PROTECTION_FROM_DATE.E49,RIGHT.E30,dates
38,DESIGNATION_OR_PROTECTION_TO_DATE.E49,RIGHT.E30,dates
607,DISTURBANCE_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
606,DISTURBANCE_CAUSE_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
755,DISTURBANCE_CAUSE_STATE.E3,CONDITION_ASSESSMENT.E14,
605,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
604,DISTURBANCE_CAUSE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
601,DISTURBANCE_DATE_END.E49,CONDITION_ASSESSMENT.E14,dates
600,DISTURBANCE_DATE_START.E49,CONDITION_ASSESSMENT.E14,dates
660,DISTURBANCE_DATE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
659,DISTURBANCE_DATE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
727,DISTURBANCE_EFFECT_1_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
699,DISTURBANCE_EFFECT_1_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
713,DISTURBANCE_EFFECT_1_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
685,DISTURBANCE_EFFECT_1_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
736,DISTURBANCE_EFFECT_10_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
708,DISTURBANCE_EFFECT_10_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
722,DISTURBANCE_EFFECT_10_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
694,DISTURBANCE_EFFECT_10_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
737,DISTURBANCE_EFFECT_11_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
709,DISTURBANCE_EFFECT_11_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
723,DISTURBANCE_EFFECT_11_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
695,DISTURBANCE_EFFECT_11_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
738,DISTURBANCE_EFFECT_12_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
710,DISTURBANCE_EFFECT_12_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
724,DISTURBANCE_EFFECT_12_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
696,DISTURBANCE_EFFECT_12_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
739,DISTURBANCE_EFFECT_13_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
711,DISTURBANCE_EFFECT_13_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
725,DISTURBANCE_EFFECT_13_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
697,DISTURBANCE_EFFECT_13_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
740,DISTURBANCE_EFFECT_14_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
712,DISTURBANCE_EFFECT_14_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
726,DISTURBANCE_EFFECT_14_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
698,DISTURBANCE_EFFECT_14_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
728,DISTURBANCE_EFFECT_2_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
700,DISTURBANCE_EFFECT_2_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
714,DISTURBANCE_EFFECT_2_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
686,DISTURBANCE_EFFECT_2_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
729,DISTURBANCE_EFFECT_3_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
701,DISTURBANCE_EFFECT_3_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
715,DISTURBANCE_EFFECT_3_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
687,DISTURBANCE_EFFECT_3_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
