Source,Target,Type,Id,Label,Weight
4,15,Directed,251,P4,1
4,42,Directed,253,P42,1
4,61,Directed,254,P42,1
4,99,Directed,170,P42,1
4,103,Directed,411,P42,1
4,119,Directed,122,P2,1
5,21,Directed,255,P2,1
13,58,Directed,261,-P71,1
15,64,Directed,262,P78,1
15,66,Directed,263,P78,1
16,74,Directed,264,-P71,1
17,16,Directed,265,P2,1
18,3,Directed,266,-P71,1
18,28,Directed,267,P90,1
20,12,Directed,271,P4,1
20,13,Directed,272,P2,1
20,110,Directed,115,P2,1
20,111,Directed,116,P2,1
20,112,Directed,112,-P67,1
20,142,Directed,146,P3,1
20,167,Directed,172,-P138,1
21,11,Directed,273,-P71,1
23,2,Directed,274,-P71,1
24,30,Directed,275,P2,1
25,40,Directed,277,-P71,1
30,65,Directed,282,-P71,1
31,140,Directed,144,P2,1
32,78,Directed,369,P2,1
34,4,Directed,294,-P41,1
34,91,Directed,147,P108,1
36,18,Directed,297,P91,1
36,63,Directed,298,-P71,1
37,20,Directed,299,P35,1
42,6,Directed,302,-P71,1
44,8,Directed,305,P3,1
44,138,Directed,142,P2,1
45,22,Directed,306,-P71,1
46,41,Directed,307,-P71,1
49,1,Directed,308,-P71,1
50,67,Directed,310,P89,1
51,76,Directed,311,-P94,1
53,9,Directed,315,P78,1
53,43,Directed,316,P78,1
54,23,Directed,318,P2,1
61,14,Directed,327,-P71,1
67,72,Directed,329,P87,1
69,17,Directed,332,P1,1
69,34,Directed,336,-P108,1
69,36,Directed,337,P43,1
69,37,Directed,338,-P34,1
69,46,Directed,341,P2,1
69,51,Directed,343,P104,1
69,71,Directed,346,P53,1
69,77,Directed,347,BM.PX.is_related_to,1
69,93,Directed,108,-P140,1
69,105,Directed,413,P3,1
69,106,Directed,414,P2,1
69,150,Directed,156,-P31,1
69,154,Directed,160,-P92,1
69,155,Directed,161,-P93,1
71,5,Directed,349,P87,1
71,31,Directed,350,P87,1
71,32,Directed,367,P45,1
71,44,Directed,351,P87,1
71,50,Directed,352,P87,1
76,45,Directed,360,P2,1
76,53,Directed,361,P4,1
77,54,Directed,363,P1,1
78,79,Directed,119,-P71,1
91,25,Directed,390,P2,1
91,49,Directed,386,P45,1
91,92,Directed,384,-P108,1
92,24,Directed,387,P33,1
93,94,Directed,109,P42,1
93,95,Directed,110,P42,1
93,123,Directed,126,P3,1
93,124,Directed,127,P42,1
93,130,Directed,175,P42,1
93,170,Directed,176,P4,1
93,173,Directed,179,P4,1
94,122,Directed,125,-P71,1
95,96,Directed,111,-P71,1
99,100,Directed,408,-P71,1
103,104,Directed,412,-P71,1
105,117,Directed,120,P2,1
106,107,Directed,415,-P71,1
110,115,Directed,117,-P71,1
111,116,Directed,118,-P71,1
112,113,Directed,113,P2,1
113,114,Directed,114,-P71,1
117,118,Directed,121,-P71,1
119,121,Directed,124,-P71,1
124,127,Directed,128,-P71,1
130,131,Directed,133,-P71,1
138,139,Directed,143,-P71,1
140,141,Directed,145,-P71,1
150,151,Directed,158,P2,1
150,153,Directed,157,P3,1
151,152,Directed,159,-P71,1
154,156,Directed,162,P2,1
154,158,Directed,164,P4,1
155,160,Directed,166,P2,1
155,162,Directed,168,P4,1
156,157,Directed,163,-P71,1
158,159,Directed,165,P78,1
160,161,Directed,167,-P71,1
162,165,Directed,169,P78,1
167,166,Directed,174,P3,1
167,169,Directed,173,P3,1
170,171,Directed,177,P78,1
170,172,Directed,178,P78,1
120,174,Directed,900,P78,1
120,175,Directed,901,P78,1
120,176,Directed,902,P2,1
120,178,Directed,903,P2,1
120,180,Directed,904,P2,1
120,182,Directed,905,P2,1
120,184,Directed,906,P2,1
120,186,Directed,907,P2,1
176,177,Directed,908,-P71,1
178,179,Directed,909,-P71,1
180,181,Directed,910,-P71,1
182,183,Directed,911,-P71,1
184,185,Directed,912,-P71,1
186,187,Directed,913,-P71,1
69,188,Directed,914,P2,1
69,190,Directed,915,P2,1
69,192,Directed,916,P2,1
188,189,Directed,926,-P71,1
190,191,Directed,927,-P71,1
192,193,Directed,928,-P71,1
4,194,Directed,917,P2,1
194,195,Directed,929,-P71,1
4,196,Directed,918,P2,1
196,197,Directed,930,-P71,1
4,198,Directed,919,P2,1
198,199,Directed,931,-P71,1
4,200,Directed,920,P2,1
200,201,Directed,932,-P71,1
4,202,Directed,920,P2,1
202,203,Directed,932,-P71,1
4,204,Directed,920,P2,1
204,205,Directed,932,-P71,1
4,206,Directed,920,P2,1
206,207,Directed,935,-P71,1
69,208,Directed,920,P2,1
208,209,Directed,936,-P71,1
69,210,Directed,925,P2,1
210,211,Directed,937,-P71,1
69,212,Directed,925,P2,1
212,213,Directed,939,-P71,1
71,214,Directed,940,P2,1
214,215,Directed,941,-P71,1
169,216,Directed,942,P2,1
216,217,Directed,943,-P71,1
71,218,Directed,944,P87,1
218,219,Directed,945,-P71,1

71,220,Directed,946,P2,1

220,221,Directed,947,-P71,1

69,222,Directed,948,P2,1

222,223,Directed,949,-P71,1
20,224,Directed,950,P2,1
224,225,Directed,912,-P71,1
20,226,Directed,951,P2,1

226,227,Directed,913,-P71,1
