Source,Target,Type,Id,Label,Weight
3,14,Directed,251,P4,1
3,37,Directed,253,P42,1
3,55,Directed,254,P42,1
3,90,Directed,518,P42,1
3,92,Directed,411,P42,1
4,20,Directed,255,P2,1
12,52,Directed,261,-P71,1
14,58,Directed,262,P78,1
14,59,Directed,263,P78,1
15,67,Directed,264,-P71,1
16,15,Directed,265,P2,1
17,2,Directed,266,-P71,1
17,25,Directed,267,P90,1
19,11,Directed,271,P4,1
19,12,Directed,272,P2,1
19,457,Directed,460,P2,1
682,458,Directed,461,P2,1
19,459,Directed,462,-P67,1
19,480,Directed,489,P3,1
19,512,Directed,514,-P138,1
20,10,Directed,273,-P71,1
22,1,Directed,274,-P71,1
27,481,Directed,490,P2,1
28,71,Directed,369,P2,1
30,3,Directed,294,-P41,1
32,17,Directed,297,P91,1
32,57,Directed,298,-P71,1
33,19,Directed,299,P35,1
37,5,Directed,302,-P71,1
39,7,Directed,305,P3,1
40,21,Directed,306,-P71,1
41,36,Directed,307,-P71,1
44,60,Directed,310,P89,1
45,69,Directed,311,-P94,1
47,8,Directed,315,P78,1
47,38,Directed,316,P78,1
48,22,Directed,318,P2,1
55,13,Directed,327,-P71,1
60,65,Directed,329,P87,1
62,16,Directed,332,P1,1
62,30,Directed,336,-P108,1
62,32,Directed,337,P43,1
62,33,Directed,338,-P34,1
62,41,Directed,341,P2,1
62,45,Directed,343,P104,1
62,64,Directed,346,P53,1
62,70,Directed,347,BM.PX.is_related_to,1
62,84,Directed,456,-P140,1
62,94,Directed,413,P3,1
62,95,Directed,414,P2,1
62,501,Directed,502,-P92,1
62,502,Directed,508,-P93,1
64,4,Directed,349,P87,1
64,27,Directed,350,P87,1
64,28,Directed,367,P45,1
64,39,Directed,351,P87,1
64,44,Directed,352,P87,1
69,40,Directed,360,P2,1
69,47,Directed,361,P4,1
70,48,Directed,363,P1,1
71,72,Directed,370,-P71,1
84,85,Directed,457,-P37,1
84,97,Directed,476,P42,1
84,471,Directed,477,P42,1
84,472,Directed,480,P3,1
84,475,Directed,517,P42,1
84,514,Directed,519,P4,1
84,517,Directed,522,P4,1
85,466,Directed,475,-P71,1
90,91,Directed,408,-P71,1
92,93,Directed,412,-P71,1
94,464,Directed,467,P2,1
95,96,Directed,415,-P71,1
97,98,Directed,417,-P71,1
457,460,Directed,466,-P71,1
458,461,Directed,465,-P71,1
459,462,Directed,463,P2,1
462,463,Directed,464,-P71,1
464,465,Directed,468,-P71,1
471,468,Directed,479,-P71,1
475,476,Directed,485,-P71,1
481,482,Directed,491,-P71,1
501,503,Directed,503,P2,1
501,504,Directed,505,P4,1
502,507,Directed,509,P2,1
502,509,Directed,511,P4,1
503,505,Directed,507,-P71,1
504,506,Directed,506,P78,1
507,508,Directed,510,-P71,1
509,510,Directed,512,P78,1
512,511,Directed,516,P3,1
512,513,Directed,515,P3,1
514,515,Directed,521,P78,1
514,516,Directed,520,P78,1
19,600,Directed,950,P78,1
19,601,Directed,951,P78,1
19,602,Directed,952,P2,1
19,604,Directed,953,P2,1
604,606,Directed,954,P2,1
19,608,Directed,955,P2,1
19,610,Directed,956,P2,1
682,612,Directed,957,P2,1
602,603,Directed,958,-P71,1
604,605,Directed,959,-P71,1
606,607,Directed,960,-P71,1
608,609,Directed,961,-P71,1
610,611,Directed,962,-P71,1
612,613,Directed,963,-P71,1
62,614,Directed,964,P2,1
62,616,Directed,965,P2,1
62,618,Directed,966,P2,1
614,615,Directed,967,-P71,1
616,617,Directed,968,-P71,1
618,619,Directed,969,-P71,1
654,620,Directed,970,P2,1
620,621,Directed,971,-P71,1
654,622,Directed,972,P2,1
622,623,Directed,973,-P71,1
654,624,Directed,974,P2,1
624,625,Directed,975,-P71,1
654,626,Directed,976,P2,1
626,627,Directed,977,-P71,1
654,628,Directed,978,P2,1
628,629,Directed,979,-P71,1
654,630,Directed,980,P2,1
630,631,Directed,981,-P71,1
654,632,Directed,982,P2,1
632,633,Directed,983,-P71,1
62,634,Directed,984,P2,1
634,635,Directed,985,-P71,1
634,636,Directed,986,P2,1
636,637,Directed,987,-P71,1
62,638,Directed,988,P2,1
638,639,Directed,989,-P71,1
64,640,Directed,990,P2,1
640,641,Directed,991,-P71,1
32,642,Directed,992,P2,1
642,643,Directed,993,-P71,1
64,644,Directed,994,P87,1
644,645,Directed,995,-P71,1

64,646,Directed,996,P2,1

646,647,Directed,997,-P71,1

62,648,Directed,998,P2,1

648,649,Directed,999,-P71,1
652,650,Directed,1000,P2,1
650,651,Directed,1001,-P71,1
19,652,Directed,1002,P2,1

652,653,Directed,1003,-P71,1
3,654,Directed,1004,P42,1
55,655,Directed,1005,P42,1
655,656,Directed,1006,P42,1
62,657,Directed,1007,P42,1
657,658,Directed,1008,P42,1
659,660,Directed,1009,-P71,1
62,661,Directed,1010,P48,1
64,662,Directed,1011,P48,1
654,663,Directed,1012,P42,1
663,664,Directed,1013,-P71,1
654,665,Directed,1014,P42,1
665,666,Directed,1015,-P71,1
19,659,Directed,1016,P2,1
667,668,Directed,1017,-P71,1
669,667,Directed,1018,P2,1
70,669,Directed,1019,P1,1
670,672,Directed,1020,P2,1
672,673,Directed,1021,-P71,1
19,670,Directed,1022,P2,1
670,671,Directed,1023,-P71,1
62,674,Directed,1024,P2,1
674,675,Directed,1025,-P71,1
674,676,Directed,1026,P2,1
676,677,Directed,1027,-P71,1
654,678,Directed,1028,P2,1
678,679,Directed,1029,-P71,1
654,680,Directed,1030,P2,1
680,681,Directed,1031,-P71,1
683,684,Directed,1032,-P71,164,683,Directed,1033,P45,133,682,Directed,1034,P35,1
