Id,Label,mergenode,businesstable
1,FILE_PATH.E62,INFORMATION_RESOURCE.E73,files
2,EXTERNAL_XREF_TYPE.E55,INFORMATION_RESOURCE.E73,domains
5,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,RESOURCE_CREATION_EVENT.E65,strings
7,TITLE_TYPE.E55,INFORMATION_RESOURCE.E73,domains
8,TITLE.E41,INFORMATION_RESOURCE.E73,strings
9,EXTERNAL_XREF.E42,INFORMATION_RESOURCE.E73,strings
11,INFORMATION_RESOURCE.E73,INFORMATION_RESOURCE.E73,
12,INFORMATION_RESOURCE_TYPE_ASSIGNMENT.E17,RESOURCE_CREATION_EVENT.E65,
15,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
16,KEYWORD.E55,INFORMATION_RESOURCE.E73,domains
17,EXTERNAL_RESOURCE.E1,INFORMATION_RESOURCE.E73,
18,TITLE_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
19,KEYWORD_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
22,INFORMATION_RESOURCE_TYPE.E55,RESOURCE_CREATION_EVENT.E65,domains
23,DESCRIPTION.E62,INFORMATION_RESOURCE.E73,strings
27,CREATOR.E39,RESOURCE_CREATION_EVENT.E65,
29,CREATOR_APPELLATION.E82,RESOURCE_CREATION_EVENT.E65,strings
30,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
31,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
32,SPATIAL_COVERAGE.E53,PLACE.E53,
33,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
34,PLACE.E53,INFORMATION_RESOURCE.E73,
35,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
37,PUBLICATION_EVENT.E12,INFORMATION_RESOURCE.E73,
38,TIME-SPAN_PUBLICATION_EVENT.E52,INFORMATION_RESOURCE.E73,
39,DATE_OF_PUBLICATION.E50,INFORMATION_RESOURCE.E73,dates
40,IDENTIFIER_TYPE.E55,INFORMATION_RESOURCE.E73,domains
41,IDENTIFIER_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
42,CONTRIBUTOR.E39,RESOURCE_CREATION_EVENT.E65,
43,CONTRIBUTOR_APPELLATION.E82,RESOURCE_CREATION_EVENT.E65,strings
44,PUBLISHER.E39,INFORMATION_RESOURCE.E73,
45,PUBLISHER_APPELLATION.E82,INFORMATION_RESOURCE.E73,strings
46,RIGHT_DESCRIPTION.E30,INFORMATION_RESOURCE.E73,strings
47,RIGHT_TYPE.E55,INFORMATION_RESOURCE.E73,domains
48,RIGHT_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
49,INFORMATION_CARRIER_FORMAT_TYPE.E55,INFORMATION_RESOURCE.E73,domains
50,INFORMATION_CARRIER_FORMAT_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
51,LANGUAGE.E55,INFORMATION_RESOURCE.E73,domains
